id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
55531_clip_18_quantity,videos/level_1/55531/clip_18.mp4,How many pellets are gathered?,"{""A"": ""15 pellets"", ""B"": ""8 pellets"", ""C"": ""12 pellets"", ""D"": ""10 pellets""}","""D""",D,D,B,1.0,1.0,0.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": {
    ""pills"": 10,
    ""orange cubes"": 8
  },
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [],
  ""counts"": [
    ""8 pills in the first image"",
    ""10 small orange and yellow objects in the second image""
  ],
  ""measurements_observed"": []
}"
55531_clip_61_quantity,videos/level_1/55531/clip_61.mp4,How many pellets are being handled?,"{""A"": ""0"", ""B"": ""1"", ""C"": ""3"", ""D"": ""2""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": [
    ""1 pair of tweezers"",
    ""1 petri dish"",
    ""6 yellow spherical objects""
  ],
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [],
  ""counts"": [""2 hands"", ""1 pair of tweezers"", ""5 yellow spherical objects""],
  ""measurements_observed"": []
}"
63013_clip_20_quantity,videos/level_1/63013/clip_20.mp4,What volume of Streptavidin is added to the flow chamber?,"{""A"": ""40 microliters"", ""B"": ""200 microliters"", ""C"": ""20 microliters"", ""D"": ""100 microliters""}","""A""",C,D,D,0.0,0.0,0.0,"```json
{
  ""numbers_visible"": [""100""],
  ""counts"": {
    ""syringes"": 1,
    ""screws"": 4,
    ""metallic components"": 2,
    ""glass slides"": 2
  },
  ""measurements_observed"": [""Streptavidin: 100 μg/mL""]
}
```","{
  ""numbers_visible"": [""100""],
  ""counts"": [""1 pipette"", ""1 microfluidic device"", ""1 gloved hand""],
  ""measurements_observed"": [""100 µg/mL""]
}"
63013_clip_29_quantity,videos/level_1/63013/clip_29.mp4,What volume of liquid is in the test tube?,"{""A"": ""1.0 mL"", ""B"": ""1.5 mL"", ""C"": ""2.0 mL"", ""D"": ""3.0 mL""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""numbers_visible"": [""3"", ""200"", ""x"", ""g""],
  ""counts"": [""1""],
  ""measurements_observed"": [""3 min"", ""200 x g""]
}
```","```json
{
  ""numbers_visible"": [""3"", ""200"", ""g""],
  ""counts"": [""1 pipette"", ""1 centrifuge"", ""1 test tube"", ""1 rack""],
  ""measurements_observed"": [""3 min"", ""200 x g""]
}
```"
2958_clip_27_quantity,videos/level_1/2958/clip_27.mp4,What concentration of paraformaldehyde is shown on the test tube label?,"{""A"": ""2%"", ""B"": ""5%"", ""C"": ""10%"", ""D"": ""4%""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""numbers_visible"": [""4"", ""%"", ""PFA""],
  ""counts"": {
    ""test tubes"": 1,
    ""fridges"": 1
  },
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [""4""],
  ""counts"": [""1 test tube"", ""1 person"", ""1 refrigerator""],
  ""measurements_observed"": [""4% PFA""]
}"
2958_clip_29_quantity,videos/level_1/2958/clip_29.mp4,What is the immersion duration shown?,"{""A"": ""48 hours"", ""B"": ""3 days"", ""C"": ""1 day"", ""D"": ""2 days""}","""D""",A,A,B,0.0,0.0,0.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": [
    {
      ""label"": ""tubes"",
      ""count"": 1
    },
    {
      ""label"": ""microscope"",
      ""count"": 1
    }
  ],
  ""measurements_observed"": []
}
```","```json
{
  ""numbers_visible"": [],
  ""counts"": [
    ""1 petri dish"",
    ""1 brain sample"",
    ""1 test tube labeled 'Methyl Methacrylate'"",
    ""1 pair of forceps"",
    ""1 microscope"",
    ""1 computer monitor"",
    ""1 person""
  ],
  ""measurements_observed"": []
}
```"
63662_clip_10_quantity,videos/level_1/63662/clip_10.mp4,What volume of solution is being transferred to the microcentrifuge tube?,"{""A"": ""55 μL"", ""B"": ""45 μL"", ""C"": ""50 μL"", ""D"": ""100 μL""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""numbers_visible"": [""1"", ""1.4""],
  ""counts"": {
    ""test tubes"": ""3"",
    ""pipette tips"": ""1"",
    ""test tube racks"": ""2""
  },
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [""1""],
  ""counts"": [""2 pipettes"", ""1 bottle of PBS"", ""1 orange test tube rack"", ""1 white test tube rack"", ""1 white container"", ""1 white lid""],
  ""measurements_observed"": []
}"
63662_clip_4_quantity,videos/level_1/63662/clip_4.mp4,What magnification level is visible on the microscope?,"{""A"": ""40x"", ""B"": ""400x"", ""C"": ""100x"", ""D"": ""200x""}","""C""",A,A,A,0.0,0.0,0.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": [
    {
      ""item"": ""microscope"",
      ""count"": 1
    },
    {
      ""item"": ""lab coat"",
      ""count"": 1
    },
    {
      ""item"": ""gloves"",
      ""count"": 2
    }
  ],
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [],
  ""counts"": [
    ""1 microscope"",
    ""1 person"",
    ""1 pair of gloves"",
    ""1 petri dish""
  ],
  ""measurements_observed"": []
}"
55979_clip_30_quantity,videos/level_1/55979/clip_30.mp4,What volume of RBF1 is shown being added in the pipette display?,"{""A"": ""25.5 μL"", ""B"": ""28.5 μL"", ""C"": ""25.0 μL"", ""D"": ""20.5 μL""}","""A""",C,C,C,0.0,0.0,0.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": [
    {
      ""item"": ""test tubes"",
      ""count"": 1
    },
    {
      ""item"": ""pipette tips"",
      ""count"": 2
    },
    {
      ""item"": ""test tube rack"",
      ""count"": 1
    },
    {
      ""item"": ""microcentrifuge tubes"",
      ""count"": 1
    },
    {
      ""item"": ""bottle"",
      ""count"": 1
    }
  ],
  ""measurements_observed"": []
}
```","{
  ""numbers_visible"": [],
  ""counts"": [
    ""1 pipette"",
    ""1 microtube"",
    ""1 green test tube rack"",
    ""1 yellow test tube rack"",
    ""1 white bottle"",
    ""1 small red-capped vial"",
    ""2 blue gloves""
  ],
  ""measurements_observed"": []
}"
55979_clip_28_quantity,videos/level_1/55979/clip_28.mp4,What volume of priming buffer is being added?,"{""A"": ""150 μL"", ""B"": ""200 μL"", ""C"": ""250 μL"", ""D"": ""100 μL""}","""B""",A,D,D,0.0,0.0,0.0,"```json
{
  ""numbers_visible"": [],
  ""counts"": [],
  ""measurements_observed"": []
}
```","```json
{
  ""numbers_visible"": [],
  ""counts"": [
    ""1 syringe"",
    ""1 device with multiple components""
  ],
  ""measurements_observed"": []
}
```"
