id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
64923_clip_4_operation,videos/level_1/64923/clip_4.mp4,What is the person doing with the pipette to the cell plate wells?,"{""A"": ""Pouring fresh medium"", ""B"": ""Injecting PBS solution"", ""C"": ""Mixing the contents"", ""D"": ""Removing the medium""}","""D""",A,A,B,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL into well A1""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""well A1""
  ],
  ""tool_object_interaction"": [
    ""The pipette is used to transfer liquid from a reservoir to well A1.""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a well"",
    ""place the pipette tip into a waste container"",
    ""cover the multi-well plate""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""pipette tip"",
    ""multi-well plate"",
    ""waste container"",
    ""cover for multi-well plate""
  ],
  ""tool_object_interaction"": [
    ""pipette tip is inserted into the well of the multi-well plate"",
    ""pipette tip is discarded into the waste container"",
    ""cover is placed over the multi-well plate""
  ]
}
```"
64923_clip_11_operation,videos/level_1/64923/clip_11.mp4,What is the person doing with the tube?,"{""A"": ""Flicking it to mix contents"", ""B"": ""Shaking it vigorously to mix contents"", ""C"": ""Vortexing it to mix contents"", ""D"": ""Inverting it to mix contents""}","""A""",A,A,A,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""hold test tube""],
  ""objects_manipulated"": [""test tube""],
  ""tool_object_interaction"": [""gloved hand holding test tube""]
}
```","```json
{
  ""actions_performed"": [
    ""hold a syringe containing a dark liquid""
  ],
  ""objects_manipulated"": [
    ""a syringe with a label""
  ],
  ""tool_object_interaction"": [
    ""gloved hand gripping the syringe""
  ]
}
```"
64923_clip_17_operation,videos/level_1/64923/clip_17.mp4,What is the person doing with the sample container?,"{""A"": ""Adjusting the rotation speed of the wheel"", ""B"": ""Transferring it to a stationary incubator"", ""C"": ""Placing it on a rotating wheel for incubation"", ""D"": ""Removing it from a rotating wheel after incubation""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""place tube into centrifuge"",
    ""start centrifuge""
  ],
  ""objects_manipulated"": [
    ""tube labeled 'ERNA, 0.25mg/ml M1'"",
    ""centrifuge""
  ],
  ""tool_object_interaction"": [
    ""tube placed into designated slot in centrifuge"",
    ""centrifuge starts spinning""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""hold a labeled tube"",
    ""press a button on the centrifuge""
  ],
  ""objects_manipulated"": [
    ""a labeled tube"",
    ""a centrifuge control panel""
  ],
  ""tool_object_interaction"": [
    ""gloved hand interacts with the labeled tube"",
    ""gloved hand interacts with the centrifuge control panel""
  ]
}
```"
63892_clip_25_operation,videos/level_1/63892/clip_25.mp4,What is the surgeon doing with the cross clamp ligatures?,"{""A"": ""Tightening the knots sequentially from proximal to distal"", ""B"": ""Removing the clamps entirely after untying"", ""C"": ""Tying additional knots over existing ligatures"", ""D"": ""Loosening the knots sequentially from distal to proximal""}","""D""",A,A,A,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [""manipulate tissue with forceps""],
  ""objects_manipulated"": [""tissue""],
  ""tool_object_interaction"": [""forceps grip and move tissue""]
}
```","```json
{
  ""actions_performed"": [
    ""manipulate tissue with forceps""
  ],
  ""objects_manipulated"": [
    ""tissue sample""
  ],
  ""tool_object_interaction"": [
    ""forceps grasp and adjust tissue""
  ]
}
```"
63892_clip_15_operation,videos/level_1/63892/clip_15.mp4,What is the surgeon doing with the sutures around the vascular bundle?,"{""A"": ""Removing them from the bundle"", ""B"": ""Cutting them after ligation"", ""C"": ""Placing them to create ligatures"", ""D"": ""Tying them to secure existing knots""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""suture the wound""
  ],
  ""objects_manipulated"": [
    ""surgical thread"",
    ""needle""
  ],
  ""tool_object_interaction"": [
    ""the needle is used to pierce through the tissue and the surgical thread is passed through the needle's eye to secure the wound.""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""incise skin with scalpel"",
    ""retract tissue with forceps"",
    ""suture wound with needle and thread""
  ],
  ""objects_manipulated"": [
    ""scalpel"",
    ""forceps"",
    ""needle"",
    ""thread"",
    ""skin"",
    ""tissue""
  ],
  ""tool_object_interaction"": [
    ""scalpel cuts through skin"",
    ""forceps hold and pull tissue"",
    ""needle pierces skin and pulls thread through""
  ]
}
```"
63892_clip_27_operation,videos/level_1/63892/clip_27.mp4,What is the surgeon visually inspecting at the surgical site?,"{""A"": ""Adjusting retractors to improve exposure of the iliac vein"", ""B"": ""Palpating the iliac vein to assess blood flow pulsatility"", ""C"": ""Observing pulsatile bright red blood mixing with dark venous blood in the iliac vein"", ""D"": ""Measuring the diameter of the iliac vein with surgical calipers""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""manipulate tissue with forceps""],
  ""objects_manipulated"": [""tissue with sutures""],
  ""tool_object_interaction"": [""forceps are used to hold and adjust the tissue with sutures""]
}
```","```json
{
  ""actions_performed"": [
    ""manipulate tissue with forceps""
  ],
  ""objects_manipulated"": [
    ""tissue""
  ],
  ""tool_object_interaction"": [
    ""forceps grasp and adjust tissue""
  ]
}
```"
61391_clip_35_operation,videos/level_1/61391/clip_35.mp4,What is the person doing with the paper tape?,"{""A"": ""Taping components to clothing instead of skin"", ""B"": ""Removing paper tape from the skin after placement"", ""C"": ""Attaching paper tape to the goniometer device itself"", ""D"": ""Securing goniometer components to the skin""}","""D""",D,A,A,1.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""apply electrode to shoulder""
  ],
  ""objects_manipulated"": [
    ""electrode"",
    ""shoulder""
  ],
  ""tool_object_interaction"": [
    ""electrode is attached to the shoulder using adhesive tape""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""apply tape to subject's arm"",
    ""attach sensor to subject's arm""
  ],
  ""objects_manipulated"": [
    ""white tape"",
    ""sensor"",
    ""subject's arm""
  ],
  ""tool_object_interaction"": [
    ""tape is pressed onto the subject's arm"",
    ""sensor is attached to the tape on the subject's arm""
  ]
}
```"
61391_clip_15_operation,videos/level_1/61391/clip_15.mp4,What is the person doing with the washable marker on the subject's arm?,"{""A"": ""Palpating the muscle belly without leaving a mark"", ""B"": ""Marking the medial epicondyle as a reference point"", ""C"": ""Drawing a line along the length of the biceps brachii muscle"", ""D"": ""Marking a small dot at the center of the biceps brachii muscle belly""}","""D""",C,C,C,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""mark the patient's arm with a marker""
  ],
  ""objects_manipulated"": [
    ""patient's arm"",
    ""marker""
  ],
  ""tool_object_interaction"": [
    ""The marker is used to draw a line or mark a specific area on the patient's arm.""
  ]
}
```","{
  ""actions_performed"": [""marks skin with marker""],
  ""objects_manipulated"": [""skin"", ""marker""],
  ""tool_object_interaction"": [""marker tip contacts skin""]
}"
61391_clip_25_operation,videos/level_1/61391/clip_25.mp4,What is being done to the lateral epicondyle mark using paper tape?,"{""A"": ""Wrapping the tape around the joint"", ""B"": ""Aligning a measurement marker"", ""C"": ""Removing existing tape residue"", ""D"": ""Attaching one end of a string""}","""D""",B,B,B,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""insert needle into arm"",
    ""apply pressure to arm""
  ],
  ""objects_manipulated"": [
    ""needle"",
    ""arm""
  ],
  ""tool_object_interaction"": [
    ""needle inserted into arm"",
    ""pressure applied to arm""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""attaches sensor to arm"",
    ""positions sensor on skin""
  ],
  ""objects_manipulated"": [
    ""sensor"",
    ""arm""
  ],
  ""tool_object_interaction"": [
    ""sensor is adhered to the skin""
  ]
}
```"
57629_clip_9_operation,videos/level_1/57629/clip_9.mp4,What is the researcher doing with the scalpel to the intestine?,"{""A"": ""Removing tissue layers completely"", ""B"": ""Measuring its length with calipers"", ""C"": ""Cutting it into measured clips"", ""D"": ""Scraping the outer surface""}","""C""",C,D,D,1.0,0.0,0.0,"```json
{
  ""actions_performed"": [""gently lift worm with forceps""],
  ""objects_manipulated"": [""worm""],
  ""tool_object_interaction"": [""forceps grip worm delicately""]
}
```","```json
{
  ""actions_performed"": [""manipulate a worm with forceps""],
  ""objects_manipulated"": [""a worm""],
  ""tool_object_interaction"": [""forceps grasp and lift the worm""]
}
```"
57629_clip_17_operation,videos/level_1/57629/clip_17.mp4,What is being done with the wetted cotton tip?,"{""A"": ""Wiping perpendicularly across the muscle fibers"", ""B"": ""Rubbing longitudinally along the muscle"", ""C"": ""Pressing firmly downward on the tissue"", ""D"": ""Dipping into a solution near the muscle""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""rotate wooden stick with cotton tip""],
  ""objects_manipulated"": [""wooden stick with cotton tip""],
  ""tool_object_interaction"": [""gloved hands hold and rotate the wooden stick""]
}
```","```json
{
  ""actions_performed"": [
    ""insert a cotton swab into a wooden stick""
  ],
  ""objects_manipulated"": [
    ""cotton swab"",
    ""wooden stick""
  ],
  ""tool_object_interaction"": [
    ""the cotton swab is inserted into the hollow end of the wooden stick""
  ]
}
```"
57629_clip_41_operation,videos/level_1/57629/clip_41.mp4,What is the person doing with the pipette in this step?,"{""A"": ""Pouring filtrate between containers"", ""B"": ""Transferring filtrate to a centrifuge tube"", ""C"": ""Measuring filtrate volume in the original tube"", ""D"": ""Capping the conical tube after transfer""}","""B""",B,B,C,1.0,1.0,0.0,"```json
{
  ""actions_performed"": [""pipette 100uL from tube into well A1""],
  ""objects_manipulated"": [""tube"", ""pipette"", ""well A1""],
  ""tool_object_interaction"": [""pipette吸取100微升液体并注入试管中""]
}
```","```json
{
  ""actions_performed"": [
    ""unscrew the cap of a test tube""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""test tube cap""
  ],
  ""tool_object_interaction"": [
    ""hand unscrews the cap from the test tube""
  ]
}
```"
