id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
55531_clip_60_tools,videos/level_1/55531/clip_60.mp4,Which tool is being used in this experimental step?,"{""A"": ""weigh boat"", ""B"": ""desiccator"", ""C"": ""ziplock bag"", ""D"": ""plastic bag""}","""D""",B,A,B,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""pipette"", ""microscope""],
  ""distinguishing_features"": [
    ""pipette has a long, thin nozzle"",
    ""microscope has a circular base and a lens""
  ],
  ""labels_or_models"": [
    ""Pipette: 'P' logo"",
    ""Microscope: 'P' logo""
  ],
  ""operating_state"": [
    ""Pipette: in use for transferring liquid"",
    ""Microscope: not in use""
  ]
}
```","{
  ""tools_in_use"": [""microscope"", ""pipette""],
  ""distinguishing_features"": [""microscope has a green and black base with a white body"", ""pipette has an orange plunger""],
  ""labels_or_models"": [""microscope has a label with 'P' and 'Q'""],
  ""operating_state"": [""microscope is off"", ""pipette is in active use""]
}"
55531_clip_38_tools,videos/level_1/55531/clip_38.mp4,What laboratory tool is being used in this research step?,"{""A"": ""automated SPE system"", ""B"": ""fraction collector"", ""C"": ""Büchner funnel"", ""D"": ""manifold""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""tools_in_use"": [""pipette"", ""test tube rack""],
  ""distinguishing_features"": [
    ""transparent plastic test tube rack"",
    ""black bottles with white labels"",
    ""blue-lidded bottle""
  ],
  ""labels_or_models"": [
    ""attenuated total reflectance"",
    ""99""
  ],
  ""operating_state"": [
    ""pipette is in use to transfer liquid"",
    ""test tube rack is being used to hold test tubes""
  ]
}
```","{
  ""tools_in_use"": [""pipette""],
  ""distinguishing_features"": [""blue pipette with a white tip""],
  ""labels_or_models"": [],
  ""operating_state"": [""in active use""]
}"
55531_clip_52_tools,videos/level_1/55531/clip_52.mp4,Which tool is being utilized in this experimental technique?,"{""A"": ""centrifuge tube"", ""B"": ""cuvette"", ""C"": ""reagent reservoir"", ""D"": ""collecting tube""}","""D""",A,A,A,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""pipette"", ""centrifuge""],
  ""distinguishing_features"": [
    ""transparent plastic container with multiple tubes"",
    ""blue exterior with clear lid""
  ],
  ""labels_or_models"": [
    ""ADJUSTABLE BEAKER"",
    ""1000 ml""
  ],
  ""operating_state"": [
    ""active use (pipetting)"",
    ""active use (centrifuging)""
  ]
}
```","{
  ""tools_in_use"": [""centrifuge""],
  ""distinguishing_features"": [""blue and white color scheme"", ""circular chamber with transparent lid"", ""control knobs and buttons on the front panel""],
  ""labels_or_models"": [""no readable text visible""],
  ""operating_state"": [""lid is open, suggesting it is not currently spinning""]
}"
63013_clip_25_tools,videos/level_1/63013/clip_25.mp4,What laboratory tool is being used in this research step?,"{""A"": ""Cannula"", ""B"": ""Syringe"", ""C"": ""Spinal needle"", ""D"": ""needle""}","""B""",C,D,C,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""pipette"", ""syringe""],
  ""distinguishing_features"": [""26 G needle"", ""5/8 Inch Length"", ""transparent barrel"", ""metallic tip""],
  ""labels_or_models"": [""Needle: 26 G\n5/8 Inch Length""],
  ""operating_state"": [""in active use""]
}
```","```json
{
  ""tools_in_use"": [""syringe"", ""needle""],
  ""distinguishing_features"": [""syringe with a clear barrel and plunger"", ""needle with a yellow hub and a fine, metallic shaft""],
  ""labels_or_models"": [""Needle: 26 G"", ""5/8 Inch Length""],
  ""operating_state"": [""syringe in active use with needle attached"", ""needle inserted into syringe""]
}
```"
63013_clip_33_tools,videos/level_1/63013/clip_33.mp4,What laboratory tool is being used in this research step?,"{""A"": ""microfluidic flow controller"", ""B"": ""syringe pump"", ""C"": ""infusion pump"", ""D"": ""peristaltic pump""}","""B""",A,B,B,0.0,1.0,1.0,"```json
{
  ""tools_in_use"": [""Digital Sampler""],
  ""distinguishing_features"": [""Purple color"", ""Multiple ports including USB, digital I/O, and DC power input/output""],
  ""labels_or_models"": [
    ""Digital Sampler"",
    ""NOTICE: DO NOT PLUG INTO INSTRUMENT DEVICE"",
    ""30V MANUAL EFFORT CONNECTING RS-485""
  ],
  ""operating_state"": [""On""]
}
```","```json
{
  ""tools_in_use"": [""microinjector""],
  ""distinguishing_features"": [""metallic syringe holder with adjustable knobs"", ""transparent syringe with a needle"", ""purple base unit with various ports and labels""],
  ""labels_or_models"": [""CAUTION FOR RESEARCH USE ONLY. NOT FOR CLINICAL USE ON PATIENTS"", ""RoHS Compliant Directive 2011/65/EU"", ""SEE MANUAL BEFORE CONNECTING RS-485"", ""DO NOT PLUG INTO FIREWIRE DEVICES"", ""FOOT SWITCH"", ""DIGITAL I/O"", ""RS-485 OUT IN"", ""POWER SOURCE DC-IN 12-DC INPUT""],
  ""operating_state"": [""tool appears to be in active use as a hand is adjusting the syringe""]
}
```"
63013_clip_25_tools,videos/level_1/63013/clip_25.mp4,What equipment is being used in this scientific procedure?,"{""A"": ""peristaltic pump"", ""B"": ""glass syringe"", ""C"": ""hypodermic needle"", ""D"": ""pipette""}","""B""",C,D,C,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""pipette"", ""syringe""],
  ""distinguishing_features"": [""26 G needle"", ""5/8 Inch Length"", ""transparent barrel"", ""metallic tip""],
  ""labels_or_models"": [""Needle: 26 G\n5/8 Inch Length""],
  ""operating_state"": [""in active use""]
}
```","```json
{
  ""tools_in_use"": [""syringe"", ""needle""],
  ""distinguishing_features"": [""syringe with a clear barrel and plunger"", ""needle with a yellow hub and a fine, metallic shaft""],
  ""labels_or_models"": [""Needle: 26 G"", ""5/8 Inch Length""],
  ""operating_state"": [""syringe in active use with needle attached"", ""needle inserted into syringe""]
}
```"
2958_clip_15_tools,videos/level_1/2958/clip_15.mp4,What laboratory equipment is being utilized to secure the sternum and chest wall in this procedure?,"{""A"": ""Allis forceps"", ""B"": ""mosquito forceps"", ""C"": ""hemostat"", ""D"": ""towel clamp""}","""C""",D,B,B,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""forceps"", ""scalpel""],
  ""distinguishing_features"": [""metallic, curved forceps"", ""sharp edge of scalpel blade""],
  ""labels_or_models"": [],
  ""operating_state"": [""active use""]
}
```","```json
{
  ""tools_in_use"": [""forceps"", ""scalpel""],
  ""distinguishing_features"": [""metallic forceps with serrated edges"", ""scalpel with a sharp, thin blade""],
  ""labels_or_models"": [],
  ""operating_state"": [""forceps in active use"", ""scalpel in active use""]
}
```"
2958_clip_24_tools,videos/level_1/2958/clip_24.mp4,What equipment is being used to inject the casting agent in this cardiovascular procedure?,"{""A"": ""needle"", ""B"": ""cannula"", ""C"": ""trocar"", ""D"": ""syringe""}","""A""",D,D,D,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""scalpel"", ""forceps"", ""syringe""],
  ""distinguishing_features"": [""sharp edge for cutting"", ""metallic grip for holding"", ""plastic barrel with needle tip""],
  ""labels_or_models"": [""10ml"", ""jove""],
  ""operating_state"": [""active use""]
}
```","```json
{
  ""tools_in_use"": [""syringe"", ""forceps"", ""scalpel""],
  ""distinguishing_features"": [""syringe with red plunger and yellow needle"", ""metal forceps with serrated edges"", ""scalpel with a sharp, thin blade""],
  ""labels_or_models"": [""syringe labeled with measurement markings""],
  ""operating_state"": [""syringe in active use for injection"", ""forceps holding tissue"", ""scalpel not in use, resting""]
}
```"
2958_clip_17_tools,videos/level_1/2958/clip_17.mp4,What equipment is being used in this scientific procedure?,"{""A"": ""peristaltic pump"", ""B"": ""syringe pump"", ""C"": ""perfusion pump"", ""D"": ""gravity feed apparatus""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""tools_in_use"": [""forceps"", ""scalpel""],
  ""distinguishing_features"": [""metallic, curved tips for forceps"", ""sharp edge for scalpel""],
  ""labels_or_models"": [],
  ""operating_state"": [""active use""]
}
```","```json
{
  ""tools_in_use"": [""forceps"", ""scalpel""],
  ""distinguishing_features"": [""metallic forceps with pointed tips"", ""scalpel with a sharp, thin blade""],
  ""labels_or_models"": [],
  ""operating_state"": [""forceps in active use"", ""scalpel in active use""]
}
```"
63662_clip_28_tools,videos/level_1/63662/clip_28.mp4,Which scientific instrument is being employed in this experiment?,"{""A"": ""shaker"", ""B"": ""incubator"", ""C"": ""vortex mixer"", ""D"": ""rocker""}","""A""",C,C,C,0.0,0.0,0.0,"```json
{
  ""tools_in_use"": [""pipette"", ""test tube rack""],
  ""distinguishing_features"": [""pipette has orange tip"", ""test tube rack is orange""],
  ""labels_or_models"": [""1857""],
  ""operating_state"": [""pipette is in use"", ""test tube rack is stationary""]
}
```","```json
{
  ""tools_in_use"": [
    ""pipette"",
    ""test tube rack"",
    ""hot plate"",
    ""digital timer""
  ],
  ""distinguishing_features"": [
    ""Pipette with a green plunger and a white tip"",
    ""Orange test tube rack with multiple slots"",
    ""Hot plate with a black heating surface and control knobs"",
    ""Digital timer with a red display and buttons""
  ],
  ""labels_or_models"": [
    ""TBST (on a bottle)""
  ],
  ""operating_state"": [
    ""Pipette is in active use"",
    ""Test tube rack is stationary and holding test tubes"",
    ""Hot plate is off"",
    ""Digital timer is off""
  ]
}
```"
