id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
55531_clip_12_materials,videos/level_1/55531/clip_12.mp4,Which material appears in this experimental step?,"{""A"": ""silica gel packets"", ""B"": ""collected pellets"", ""C"": ""agarose beads"", ""D"": ""lyophilized powder""}","""B""",D,D,D,0.0,0.0,0.0,"```json
{
  ""materials_visible"": [
    ""aluminum foil"",
    ""sand"",
    ""twigs""
  ],
  ""labels_seen"": [],
  ""container_descriptions"": [
    {
      ""shape"": ""square"",
      ""color"": ""silver"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""material"": ""aluminum foil"",
      ""color"": ""silver"",
      ""state"": ""solid"",
      ""texture"": ""wrinkled""
    },
    {
      ""material"": ""sand"",
      ""color"": ""brown"",
      ""state"": ""solid"",
      ""texture"": ""granular""
    },
    {
      ""material"": ""twigs"",
      ""color"": ""brown"",
      ""state"": ""solid"",
      ""texture"": ""fibrous""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""aluminum foil""],
  ""labels_seen"": [],
  ""container_descriptions"": [""aluminum foil is crumpled and irregular in shape""],
  ""substance_appearance"": [""contents on the aluminum foil are a mixture of small, solid particles with various colors including brown, white, and yellow""]
}
```"
55531_clip_28_materials,videos/level_1/55531/clip_28.mp4,What material appears in this procedure?,"{""A"": ""sand"", ""B"": ""silica gel"", ""C"": ""quartz sand"", ""D"": ""glass beads""}","""C""",B,B,B,0.0,0.0,0.0,"```json
{
  ""materials_visible"": [],
  ""labels_seen"": [],
  ""container_descriptions"": [
    {
      ""name"": ""Funnel"",
      ""description"": ""Metallic, conical shape, silver in color.""
    },
    {
      ""name"": ""Beaker"",
      ""description"": ""White, cylindrical, with a handle.""
    },
    {
      ""name"": ""Burette"",
      ""description"": ""Transparent glass, with a purple cap.""
    }
  ],
  ""substance_appearance"": []
}
```","```json
{
  ""materials_visible"": [],
  ""labels_seen"": [],
  ""container_descriptions"": [
    ""A metallic funnel with a conical shape and a cylindrical stem, placed on a metal stand."",
    ""A transparent glass bottle with a purple cap, positioned in the background."",
    ""A white cylindrical container with a blue cap, located in the background.""
  ],
  ""substance_appearance"": []
}
```"
55531_clip_61_materials,videos/level_1/55531/clip_61.mp4,Which material appears in this experimental step?,"{""A"": ""compressed tablet"", ""B"": ""pellet"", ""C"": ""gelatin capsule"", ""D"": ""agarose bead""}","""B""",D,D,D,0.0,0.0,0.0,"```json
{
  ""materials_visible"": [
    ""Petri dish"",
    ""Forceps"",
    ""Yellow spherical objects""
  ],
  ""labels_seen"": [],
  ""container_descriptions"": [
    {
      ""type"": ""Petri dish"",
      ""shape"": ""Circular"",
      ""color"": ""Clear"",
      ""size"": ""Standard laboratory size""
    },
    {
      ""type"": ""Forceps"",
      ""shape"": ""Curved"",
      ""color"": ""Metallic silver"",
      ""size"": ""Standard laboratory size""
    }
  ],
  ""substance_appearance"": [
    {
      ""material"": ""Yellow spherical objects"",
      ""state"": ""Solid"",
      ""texture"": ""Smooth""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""unidentified yellow spherical samples""],
  ""labels_seen"": [],
  ""container_descriptions"": [""circular, transparent petri dish""],
  ""substance_appearance"": [""yellow, solid, spherical""]
}
```"
55531_clip_41_materials,videos/level_1/55531/clip_41.mp4,What material appears in this procedure?,"{""A"": ""toluene"", ""B"": ""hexane"", ""C"": ""ethanol"", ""D"": ""heptane""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""materials_visible"": [
    ""test tube"",
    ""test tube rack"",
    ""bottles""
  ],
  ""labels_seen"": [
    ""Wait for 5 min""
  ],
  ""container_descriptions"": [
    {
      ""type"": ""test tube"",
      ""color"": ""transparent"",
      ""size"": ""standard""
    },
    {
      ""type"": ""test tube rack"",
      ""color"": ""white"",
      ""size"": ""medium""
    },
    {
      ""type"": ""bottles"",
      ""color"": ""brown"",
      ""size"": ""large""
    }
  ],
  ""substance_appearance"": [
    {
      ""container"": ""test tube"",
      ""appearance"": ""white powder""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""unlabeled liquid in test tube""],
  ""labels_seen"": [""Wait for 5 min""],
  ""container_descriptions"": [""white test tube with measurement markings"", ""white container with multiple compartments and cork stoppers"", ""large dark glass bottles in the background""],
  ""substance_appearance"": [""white, liquid, appears slightly cloudy""]
}
```"
63013_clip_29_materials,videos/level_1/63013/clip_29.mp4,Which material appears in this experimental step?,"{""A"": ""trypsin solution"", ""B"": ""cell suspension sample"", ""C"": ""DMEM culture medium"", ""D"": ""phosphate-buffered saline""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""materials_visible"": [
    ""Eppendorf tube"",
    ""Centrifuge""
  ],
  ""labels_seen"": [
    ""Eppendorf"",
    ""3 min\n200 x g"",
    ""Centrifuge 5424""
  ],
  ""container_descriptions"": [
    {
      ""shape"": ""cylindrical"",
      ""color"": ""transparent"",
      ""size"": ""small""
    },
    {
      ""shape"": ""rectangular"",
      ""color"": ""white"",
      ""size"": ""large""
    }
  ],
  ""substance_appearance"": [
    {
      ""color"": ""pink"",
      ""state"": ""liquid"",
      ""texture"": ""viscous""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""Eppendorf tubes"", ""liquid sample""],
  ""labels_seen"": [""Big Spins"", ""Centrifuge 5424"", ""3 min 200 x g"", ""1000 µL""],
  ""container_descriptions"": [""Eppendorf tubes are small, clear, and cylindrical with a green cap"", ""Centrifuge is a rectangular, white machine with a digital display and control buttons""],
  ""substance_appearance"": [""liquid sample is pink in color, liquid state, appears homogeneous""]
}
```"
63013_clip_23_materials,videos/level_1/63013/clip_23.mp4,What material appears in the researcher's work in this video clip?,"{""A"": ""BSA"", ""B"": ""P-selectin-Fc"", ""C"": ""IgG-Fc"", ""D"": ""E-selectin-Fc""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""materials_visible"": [
    ""P-selectin-Fc: 10 μg/mL""
  ],
  ""labels_seen"": [
    ""P-selectin-Fc: 10 μg/mL""
  ],
  ""container_descriptions"": [
    {
      ""shape"": ""cylindrical"",
      ""color"": ""transparent"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""color"": ""clear"",
      ""state"": ""liquid"",
      ""texture"": ""homogeneous""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""P-selectin-Fc""],
  ""labels_seen"": [""P-selectin-Fc: 10 μg/mL""],
  ""container_descriptions"": [""Black rectangular device with transparent channels and metallic screws""],
  ""substance_appearance"": [""Clear liquid""]
}
```"
63013_clip_7_materials,videos/level_1/63013/clip_7.mp4,What material appears in the researcher's work in this video clip?,"{""A"": ""double-sided tape"", ""B"": ""microscope slide"", ""C"": ""single-sided tape"", ""D"": ""adhesive transfer tape""}","""A""",D,D,C,0.0,0.0,0.0,"```json
{
  ""materials_visible"": [
    ""Flow Chamber Preparation""
  ],
  ""labels_seen"": [
    ""Flow Chamber Preparation""
  ],
  ""container_descriptions"": [
    {
      ""shape"": ""rectangular"",
      ""color"": ""white"",
      ""size"": ""small""
    },
    {
      ""shape"": ""cylindrical"",
      ""color"": ""transparent"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""color"": ""clear"",
      ""state"": ""liquid"",
      ""texture"": ""transparent""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""pipette tip"", ""liquid sample""],
  ""labels_seen"": [""Flow Chamber Preparation""],
  ""container_descriptions"": [""white hexagonal container holding a pipette tip"", ""orange flow chamber frame with a transparent cover""],
  ""substance_appearance"": [""clear liquid in the white container""]
}
```"
63013_clip_15_materials,videos/level_1/63013/clip_15.mp4,Which material appears in this experimental step?,"{""A"": ""blocking buffer"", ""B"": ""PBS"", ""C"": ""wash buffer"", ""D"": ""lysis buffer""}","""C""",A,A,A,0.0,0.0,0.0,"```json
{
  ""materials_visible"": [
    ""Ethanol""
  ],
  ""labels_seen"": [
    ""Surface Preparation""
  ],
  ""container_descriptions"": [
    {
      ""shape"": ""cylindrical"",
      ""color"": ""transparent"",
      ""size"": ""small""
    },
    {
      ""shape"": ""conical"",
      ""color"": ""white"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""color"": ""clear"",
      ""state"": ""liquid"",
      ""texture"": ""smooth""
    },
    {
      ""color"": ""white"",
      ""state"": ""solid"",
      ""texture"": ""powdery""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""pipette"", ""sample substrate""],
  ""labels_seen"": [""Surface Preparation""],
  ""container_descriptions"": [""black rectangular holder with metallic screws and clear acrylic components""],
  ""substance_appearance"": [""clear liquid being dispensed from the pipette""]
}
```"
2958_clip_27_materials,videos/level_1/2958/clip_27.mp4,What material appears in the researcher's work in this video clip?,"{""A"": ""spinal cord"", ""B"": ""brain"", ""C"": ""cortex"", ""D"": ""liver""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""materials_visible"": [""4% PFA""],
  ""labels_seen"": [""4% PFA"", ""Corning""],
  ""container_descriptions"": [
    {
      ""shape"": ""cylindrical"",
      ""color"": ""transparent"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""color"": ""red"",
      ""state"": ""liquid"",
      ""texture"": ""clear""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""4% PFA""],
  ""labels_seen"": [""4% PFA""],
  ""container_descriptions"": [""Cylindrical test tube with a clear body and a red cap. The test tube is small, likely 15-20 ml capacity.""],
  ""substance_appearance"": [""The contents are a clear liquid with no visible solid particles or coloration.""]
}
```"
2958_clip_20_materials,videos/level_1/2958/clip_20.mp4,Which material appears in this experimental step?,"{""A"": ""benzoyl peroxide"", ""B"": ""dioctyl phthalate"", ""C"": ""curing agent"", ""D"": ""PDMS base""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""materials_visible"": [
    ""MV Curing Agent""
  ],
  ""labels_seen"": [
    ""MV Curing Agent"",
    ""IONIC RECOMMENDATION"",
    ""If product crystallizes precipitate persists do not be concerned with MV Curing Agent Contains dibutyl tin dilaurate""
  ],
  ""container_descriptions"": [
    {
      ""shape"": ""bottle"",
      ""color"": ""transparent"",
      ""size"": ""small""
    },
    {
      ""shape"": ""test tube"",
      ""color"": ""transparent"",
      ""size"": ""small""
    }
  ],
  ""substance_appearance"": [
    {
      ""material"": ""MV Curing Agent"",
      ""state"": ""liquid"",
      ""texture"": ""clear""
    },
    {
      ""material"": ""substance in test tube"",
      ""state"": ""liquid"",
      ""color"": ""red"",
      ""texture"": ""transparent""
    }
  ]
}
```","```json
{
  ""materials_visible"": [""MV Curing Agent""],
  ""labels_seen"": [""MV Curing Agent"", ""NATIONAL RECOMMENDATION"", ""If product crystallizes, heat to 40°C to redissolve. Do not be concerned with crystalline precipitate present.""],
  ""container_descriptions"": [""Small, clear glass bottle with a narrow neck and a red cap (cap is off in the image).""],
  ""substance_appearance"": [""Clear, liquid with no visible solid particles or precipitates.""]
}
```"
