id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
3691_scientific_discovery,videos/level_3/3691_.mp4,"The methodological advance demonstrated is a ____ collagen matrix co-culture of ____ midbrain and ____ explants, with ____ ratio quantification, enabling physiologically relevant measurement of chemotropic axon guidance during mesostriatal and striatonigral pathway development.",,"[""three-dimensional"", ""dopaminergic"", ""striatal"", ""proximal–distal""]",quantification | midbrain | striatal | P/D,quantitative | mouse | striatal | P/D,quantification | midbrain | striatal | P/D,0.25,0.25,0.25,"```json
{
  ""experiment_overview"": ""The experiment involves dissecting and analyzing a biological sample, likely a neural tissue explant, to study axon guidance using quantitative methods."",
  ""novel_techniques_shown"": [""Quantitative analysis of axon guidance using P/D ratio measurement""],
  ""key_steps"": [
    ""Dissection of the neural tissue explant under a microscope"",
    ""Incubation of the explant in PFA at room temperature"",
    ""Incubation in blocking buffer overnight at 4°C"",
    ""Analysis of axon growth using a computerized imaging system""
  ],
  ""materials_subjects"": [""Neural tissue explant"", ""PFA (paraformaldehyde)"", ""Blocking buffer"", ""PBS (phosphate-buffered saline)""],
  ""tools_and_setup"": [""Microscope"", ""Dissection tools"", ""Incubator"", ""Computerized imaging system"", ""Microscope slides""],
  ""anything_unusual_or_notable"": [""The use of a computerized imaging system to quantify axon growth and directionality based on the P/D ratio""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the dissection and analysis of biological samples, likely focusing on the study of axon behavior in response to certain stimuli. The process includes the preparation of samples, their incubation, and the quantification of axon attraction or repulsion using a P/D ratio."",
  ""novel_techniques_shown"": [
    ""Use of a stereomicroscope for precise dissection and manipulation of small biological samples."",
    ""Quantification of collagen matrix effects on axon behavior.""
  ],
  ""key_steps"": [
    ""Dissection of biological samples under a stereomicroscope."",
    ""Incubation of explants in PFA (paraformaldehyde) at room temperature."",
    ""Incubation of samples in a blocking buffer with a secondary antibody overnight at 4°C."",
    ""Analysis of axon behavior using a P/D ratio to determine attraction or repulsion.""
  ],
  ""materials_subjects"": [
    ""Biological samples (explants) for dissection."",
    ""Paraformaldehyde (PFA) for fixation."",
    ""Blocking buffer and secondary antibody for incubation."",
    ""PBS (phosphate-buffered saline) for sample preparation.""
  ],
  ""tools_and_setup"": [
    ""Stereomicroscope for dissection and sample manipulation."",
    ""Incubator for controlled temperature incubation."",
    ""Microscope for detailed observation of samples."",
    ""Computer with specialized software for analysis of axon behavior.""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a P/D ratio as a quantifiable metric for assessing axon behavior is a distinctive feature, suggesting a methodologically significant approach to studying neural responses.""
  ]
}
```"
57543_scientific_discovery,videos/level_3/57543_.mp4,"The study concludes that a new protocol enables rapid selection of ______ from neonatal mouse cortex using ______, achieving ______ in approximately ______, while preserving differentiation capacity and minimizing astrocyte contamination.",,"[""O4-positive oligodendrocytes"", ""immunomagnetic isolation"", "">80% purity"", ""4 hours""]",neurons | fluorescence microscopy | high purity | 3 days,cell types | fluorescent markers | high efficiency | 3 days,neural progenitors | immunostaining | high purity | 2 hours,0.125,0.0,0.25,"```json
{
  ""experiment_overview"": ""The experiment involves culturing and analyzing neural stem cells to study their differentiation into various cell types such as NG2, O4/GFAP, and O1."",
  ""novel_techniques_shown"": [""Use of fluorescent markers to identify specific cell types during differentiation"", ""Microscopy for visualization of cell cultures""],
  ""key_steps"": [
    ""Culturing neural stem cells in petri dishes"",
    ""Transferring cells using a pipette"",
    ""Freezing cells in liquid nitrogen"",
    ""Thawing cells and culturing them again"",
    ""Analyzing cell cultures under a microscope""
  ],
  ""materials_subjects"": [""Neural stem cells"", ""NG2, O4/GFAP, O1 markers""],
  ""tools_and_setup"": [""Petri dishes"", ""Pipette"", ""Microscope"", ""Liquid nitrogen"", ""Microscope slides""],
  ""anything_unusual_or_notable"": [""The use of fluorescent markers to differentiate between cell types is a key technique, indicating a focus on cellular identification and analysis.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the culturing and analysis of cells, likely neural cells, as indicated by the immunostaining images showing markers such as NG2, O4/GFAP, and O1. The process includes handling of cell cultures, preparation of samples, and possibly the study of cell differentiation or proliferation over time (1DIV and 3DIV)."",
  ""novel_techniques_shown"": [
    ""Use of a biosafety cabinet for aseptic handling of cell cultures and samples."",
    ""Immunostaining and fluorescence microscopy for visualizing specific cell markers.""
  ],
  ""key_steps"": [
    ""Transfer of cell cultures using pipettes and microtubes."",
    ""Preparation of coverslips for immunostaining, as indicated by the text overlay."",
    ""Imaging of stained cells using fluorescence microscopy.""
  ],
  ""materials_subjects"": [
    ""Cell cultures in petri dishes."",
    ""Microtubes containing cell samples."",
    ""Immunostaining reagents for NG2, O4/GFAP, and O1 markers.""
  ],
  ""tools_and_setup"": [
    ""Biosafety cabinet for maintaining a sterile environment."",
    ""Pipettes and microtubes for sample handling."",
    ""Fluorescence microscope for imaging stained cells."",
    ""Coverslips for mounting samples for microscopy.""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of specific cell markers (NG2, O4/GFAP, O1) suggests a focus on neural cell types, possibly oligodendrocytes or astrocytes."",
    ""The progression from 1DIV to 3DIV indicates a time-course study of cell development or response.""
  ]
}
```"
4154_scientific_discovery,videos/level_3/4154_.mp4,"The study introduced a rapid, reproducible method to deliver antibodies into neurons by complexing _______-labeled antibodies with a _______; robust intracellular delivery was confirmed via ________, enabling tests of how autoantibodies such as ________ affect neuronal function and disease.",,"[""Atto 550 NHS"", ""transfection reagent"", ""immunofluorescence microscopy"", ""anti-hnRNP A1""]",transferrin; cell-penetrating peptide; live and fixed imaging; anti-NMDA receptor,fluorescent | cationic lipid | live and fixed imaging | anti-NMDA receptor,fluorescent | cationic lipid | live and fixed imaging | anti-NMDA receptor,0.0,0.0,0.0,"```json
{
  ""experiment_overview"": ""The experiment involves the transfection of antibodies into neurons to study disease pathogenesis."",
  ""novel_techniques_shown"": [""Antibody transfection technique""],
  ""key_steps"": [
    ""Neuronal cell culture preparation"",
    ""Antibody transfection using a pipette"",
    ""Live and fixed imaging to determine transfection efficiency""
  ],
  ""materials_subjects"": [""Neurons"", ""Antibodies""],
  ""tools_and_setup"": [
    ""Microscope"",
    ""Pipette"",
    ""Incubator"",
    ""Computer for imaging analysis""
  ],
  ""anything_unusual_or_notable"": [""The use of live and fixed imaging techniques to assess transfection efficiency""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the transfection of antibodies into neurons to study disease pathogenesis. It includes neuronal cell culture, antibody transfection, and live and fixed imaging of antibody-transfected neurons."",
  ""novel_techniques_shown"": [
    ""Antibody transfection into neurons as a tool to study disease pathogenesis""
  ],
  ""key_steps"": [
    ""Neuronal cell culture preparation"",
    ""Antibody transfection into neurons"",
    ""Live and fixed imaging of antibody-transfected neurons""
  ],
  ""materials_subjects"": [
    ""Neurons"",
    ""Antibodies""
  ],
  ""tools_and_setup"": [
    ""Microscope for imaging"",
    ""Laboratory equipment for cell culture and transfection""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of antibody transfection as a method to study disease pathogenesis in neurons""
  ]
}
```"
2958_scientific_discovery,videos/level_3/2958_.mp4,"The methodological innovation demonstrated uses __ cerebrovascular casting with __ clearing to produce a transparent mouse brain and a durable, __ 3D vascular tree that can be imaged by __, enabling multimodal detection of cerebrovascular malformations.",,"[""Microfil"", ""methyl salicylate"", ""radiopaque"", ""micro-CT""]",4% PFA|ethanol|high-resolution|microscopy,microfil | embedded | high-resolution | confocal microscopy,"cerebrovascular casting with clearing to produce a transparent mouse brain and a durable, 3D vascular tree that can be imaged by microscopy, enabling multimodal detection of cerebrovascular malformations.",0.0,0.25,0.0,"```json
{
  ""experiment_overview"": ""The experiment involves preparing a brain for histological analysis by using a combination of chemical treatments and imaging techniques."",
  ""novel_techniques_shown"": [""Chemical fixation with 4% PFA followed by ethanol dehydration"", ""Vascular injection technique"", ""Histological analysis preparation""],
  ""key_steps"": [
    ""Injecting a red liquid into the brain's vasculature to visualize blood vessels"",
    ""Submerging the brain in a solution of 25% ethanol for one day"",
    ""Transferring the brain to a solution of 50% ethanol for another day"",
    ""Preparing the brain for histological analysis as described in the accompanying manuscript""
  ],
  ""materials_subjects"": [""Brain tissue"", ""4% PFA (Paraformaldehyde)"", ""Ethanol solutions (25% and 50%)""],
  ""tools_and_setup"": [""Dissecting microscope"", ""Microfil vascular injection system"", ""Incubation chamber"", ""Laboratory bench with various chemicals and tools""],
  ""anything_unusual_or_notable"": [""The use of a vascular injection technique to enhance the visualization of blood vessels within the brain during histological analysis.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the preparation and analysis of a brain, likely for histological examination. It includes the use of a dissecting microscope, the injection of a red liquid compound into a subject, and the handling of the brain with various tools and chemicals."",
  ""novel_techniques_shown"": [
    ""Injection of a red liquid compound into a subject for vascular injection, as indicated by the label on the compound.""
  ],
  ""key_steps"": [
    ""Injection of a red liquid compound into a subject."",
    ""Handling and preparation of the brain for histological analysis."",
    ""Use of a dissecting microscope for detailed examination.""
  ],
  ""materials_subjects"": [
    ""Brain"",
    ""Red liquid compound for vascular injection"",
    ""4% PFA (paraformaldehyde) solution"",
    ""25% ethanol solution""
  ],
  ""tools_and_setup"": [
    ""Dissecting microscope"",
    ""Syringe and needle for injection"",
    ""Test tubes for chemical solutions"",
    ""Ultrasound bath (labeled '370')"",
    ""Various laboratory equipment and tools for handling the brain""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a red liquid compound for vascular injection, which is a specific technique for visualizing the vascular system.""
  ]
}
```"
53980_scientific_discovery,videos/level_3/53980_.mp4,"This study shows that a fast, reproducible, high-throughput larval _____ assay using yeast-paste trails on _____ can quantitatively resolve genetic (_____) and environmental effects (_____ and rearing food quality) on Drosophila food-related locomotion.",,"[""path-length"", ""Plexiglas wells"", ""rover vs. sitter"", ""food deprivation""]",path-length | plexiglass plates | genotype | age,counting | plexiglass plates | genetic variation | environmental factors,behavioral | plexiglass plates | genotype | rearing conditions,0.25,0.0,0.0,"```json
{
  ""experiment_overview"": ""The experiment involves preparing test plates for measuring the behavior of flies, specifically their path lengths, under different food quality conditions."",
  ""novel_techniques_shown"": [""The use of plexiglass plates with circular wells to contain flies for observation."", ""A method to quantify the number of larvae per plate, which is used to determine the sample size per strain/test day.""],
  ""key_steps"": [
    ""Preparing plexiglass plates with circular wells by marking and drilling holes."",
    ""Transferring flies into the prepared plates using a pipette."",
    ""Counting the number of larvae in each plate to determine the sample size."",
    ""Observing the flies' behavior over time to measure path lengths.""
  ],
  ""materials_subjects"": [""Plexiglass plates"", ""Fly larvae"", ""Food quality samples (high and low)""],
  ""tools_and_setup"": [""Plexiglass plates"", ""Drill"", ""Pipette"", ""Microscope"", ""Digital scale""],
  ""anything_unusual_or_notable"": [""The use of a digital scale to count larvae, ensuring accuracy in determining the sample size per plate.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the preparation and analysis of test plates and holding bottles, likely for studying the behavior or development of larvae. The video shows the handling of small organisms, possibly larvae, and the use of specialized equipment to observe and measure their characteristics."",
  ""novel_techniques_shown"": [
    ""Use of plexiglass plates with specific dimensions and well configurations for holding samples."",
    ""Application of a substance, possibly agar, to the plates for culturing or testing purposes.""
  ],
  ""key_steps"": [
    ""Preparing plexiglass plates with 10 circular wells."",
    ""Handling and transferring small organisms using a pipette."",
    ""Observing the organisms under a microscope.""
  ],
  ""materials_subjects"": [
    ""Larvae or small organisms being studied."",
    ""Agar or a similar substance for culturing.""
  ],
  ""tools_and_setup"": [
    ""Plexiglass plates with specific dimensions."",
    ""Microscope for observation."",
    ""Pipette for transferring samples.""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of plexiglass plates with precise specifications suggests a controlled environment for the experiment.""
  ]
}
```"
50107_scientific_discovery,videos/level_3/50107_.mp4,"According to the study’s main conclusion, a rigorously standardized assay in adult Drosophila—namely the _____—quantifies associative memory via a _____, is validated by reduced learning in _____, and can be adapted to test how _____ affect memory across species.",,"[""olfactory shock T-maze"", ""performance index"", ""dunce mutants"", ""internal-state manipulations""]",Shock Learning Experiment | shock | dnc flies | manipulations,Shock Learning Experiment | performance index | dnc flies | odorants,Shock Learning Experiment | electric shock | dnc flies | genetic mutations,0.25,0.3333333333333333,0.08333333333333333,"```json
{
  ""experiment_overview"": ""The experiment appears to be focused on studying the learning capabilities of two types of flies (WT and dnc) under different odor conditions. The study involves measuring performance indices related to their responses to specific odors."",
  ""novel_techniques_shown"": [""Use of a specialized setup for delivering odors to the flies, likely involving controlled airflow and odor presentation techniques.""],
  ""key_steps"": [
    ""Setting up the experimental apparatus with labeled tubes containing different odors (MCH, OCT, Odor A, Odor B)."",
    ""Injecting the odors into the system using syringes."",
    ""Monitoring the flies' responses to the odors through a performance index measurement."",
    ""Analyzing the data to compare the performance indices between WT and dnc flies.""
  ],
  ""materials_subjects"": [""WT and dnc flies"", ""Odor solutions: MCH, OCT, Odor A, Odor B""],
  ""tools_and_setup"": [
    ""Microscope for detailed observation of the flies"",
    ""Syringes for injecting odor solutions"",
    ""Specialized setup for delivering odors to the flies"",
    ""Multimeter for monitoring electrical activity"",
    ""Graphical interface for data analysis""
  ],
  ""anything_unusual_or_notable"": [""The use of a specialized setup for delivering odors to the flies suggests an innovative approach to studying olfactory learning in insects.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment appears to be focused on studying learning and memory in fruit flies, specifically comparing wild-type (WT) and dnc (dunce) mutant flies. The setup involves exposing the flies to different odors (MCH and OCT) and measuring their performance index, which likely reflects their ability to associate the odors with a stimulus."",
  ""novel_techniques_shown"": [
    ""Use of a specialized apparatus for delivering odors and possibly electric shocks to the flies."",
    ""Employment of a performance index graph to quantitatively compare learning outcomes between WT and dnc flies.""
  ],
  ""key_steps"": [
    ""Preparation of the experimental setup, including the odor delivery system and the shock learning apparatus."",
    ""Exposure of flies to specific odors (MCH and OCT) in a controlled environment."",
    ""Measurement and recording of the flies' responses to the odors, likely after a conditioning phase."",
    ""Analysis of the data to determine the performance index for both WT and dnc flies.""
  ],
  ""materials_subjects"": [
    ""Wild-type (WT) fruit flies"",
    ""dnc (dunce) mutant fruit flies"",
    ""MCH (methylcyclohexanone) odor"",
    ""OCT (octanol) odor""
  ],
  ""tools_and_setup"": [
    ""Odor delivery system with labeled tubes for MCH and OCT."",
    ""Shock learning apparatus for conditioning the flies."",
    ""Microscope for possibly observing the flies."",
    ""Computers for data analysis and graphing.""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a performance index graph to visually compare the learning capabilities of WT and dnc flies, highlighting the genetic impact on memory.""
  ]
}
```"
3564_scientific_discovery,videos/level_3/3564_.mp4,"The methodological innovation shown is that maintaining ________ perfusion pressures (about ________) during transcardial perfusion fixation exploits the ________ to distribute fixative uniformly, enabling rapid, high-quality ________ preservation for immunohistochemistry.",,"[""physiological"", ""80-130 mmHg"", ""vascular system"", ""rat brain""]",constant | 100 mmHg | capillary action | tissue,constant | 100 mmHg | capillary action | tissue,constant | 120 mmHg | capillary action | tissue,0.125,0.125,0.125,"```json
{
  ""experiment_overview"": ""The video demonstrates the process of whole animal perfusion fixation for rodents, a technique used to preserve the tissue structure of an animal's body after death by filling its circulatory system with a fixative solution."",
  ""novel_techniques_shown"": [""The use of a syringe to inject the fixative into the heart, ensuring thorough perfusion throughout the body, and the subsequent removal of the heart to allow for complete fixation of the internal organs.""],
  ""key_steps"": [
    ""Injecting the fixative solution into the heart through a cannula."",
    ""Perfusing the fixative solution through the circulatory system to ensure full penetration."",
    ""Removing the heart to allow for complete fixation of the internal organs."",
    ""Fixation of the entire body.""
  ],
  ""materials_subjects"": [""Rodents (likely mice), fixative solution, cannula, syringe, and other surgical instruments.""],
  ""tools_and_setup"": [""Surgical tools, syringe, cannula, fixative solution, timer, and a setup for monitoring pressure during perfusion.""],
  ""anything_unusual_or_notable"": [""The use of a cartoon illustration alongside the live-action footage to explain the procedure, making the video educational and accessible to a broader audience.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves whole animal perfusion fixation for rodents, a process used to preserve tissues for histological analysis. The video demonstrates the preparation and perfusion of a rodent, likely a rat, with a focus on the surgical and technical aspects of the procedure."",
  ""novel_techniques_shown"": [
    ""Use of a digital timer to monitor the perfusion process"",
    ""Illustrative diagrams to guide the surgical incisions and cannulation""
  ],
  ""key_steps"": [
    ""Anesthetizing the rodent"",
    ""Positioning the rodent on a surgical table"",
    ""Performing a midline incision to expose the thoracic cavity"",
    ""Cannulating the aorta and clamping the vena cava"",
    ""Initiating perfusion with a buffer solution followed by a fixative""
  ],
  ""materials_subjects"": [
    ""Rodent (likely a rat)"",
    ""Perfusion buffer solution"",
    ""Fixative solution"",
    ""Surgical instruments (scissors, forceps, etc.)"",
    ""Cannula and tubing for perfusion""
  ],
  ""tools_and_setup"": [
    ""Surgical table"",
    ""Digital timer"",
    ""Perfusion apparatus with tubing and cannula"",
    ""Surgical instruments for incision and cannulation"",
    ""Anesthesia equipment (not directly shown but implied)""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a digital timer to ensure precise timing during the perfusion process"",
    ""The inclusion of illustrative diagrams to guide the surgical procedure, enhancing educational value""
  ]
}
```"
52742_scientific_discovery,videos/level_3/52742_.mp4,"Fill in the blanks: This work shows that combining ______ with ______ enables long-term, high-throughput calcium imaging of freely moving C. elegans across life stages, allowing direct correlation of behavioral development with calcium transients in the ______ command interneuron.",,"[""agarose microchambers"", ""TTL-triggered short-exposure EMCCD imaging"", ""AVA""]",agarose microchambers; live imaging; ASH,agarose microchambers | chambered cover slips | ASH,agarose microchambers | plasma cleaning | ASH,0.09523809523809525,0.3333333333333333,0.3333333333333333,"```json
{
  ""experiment_overview"": ""The experiment involves preparing agarose microchambers for calcium imaging in a biological context."",
  ""novel_techniques_shown"": [""Preparation of agarose microchambers"", ""Calcium imaging technique""],
  ""key_steps"": [
    ""Preparing agarose microchambers using a pipette to fill them with agarose solution."",
    ""Placing the prepared microchambers into a chambered cover slip."",
    ""Setting up a microscope and software for calcium imaging.""
  ],
  ""materials_subjects"": [""Agarose solution"", ""Chambered cover slips"", ""Biological sample (not specified)""],
  ""tools_and_setup"": [
    ""Pipette"",
    ""Microscope"",
    ""Computer with specialized imaging software"",
    ""Agarose solution"",
    ""Chambered cover slips""
  ],
  ""anything_unusual_or_notable"": [""The use of chambered cover slips to create a controlled environment for imaging within the agarose microchambers.""]
}
```","```json
{
  ""experiment_overview"": ""The video demonstrates a scientific experiment involving the preparation and analysis of biological samples, likely for studying cellular behavior or chemical interactions. It includes steps for preparing agarose microchambers, using a plasma cleaner, and conducting calcium imaging."",
  ""novel_techniques_shown"": [
    ""Use of a plasma cleaner to prepare surfaces for biological samples"",
    ""Preparation of agarose microchambers for controlled sample environments"",
    ""Calcium imaging to visualize cellular activity""
  ],
  ""key_steps"": [
    ""Handling and preparing culture media and dishes"",
    ""Using a pipette to transfer liquids into microchambers"",
    ""Operating a plasma cleaner to treat surfaces"",
    ""Analyzing data on a computer screen, likely for calcium imaging results""
  ],
  ""materials_subjects"": [
    ""Agarose solution"",
    ""Culture media"",
    ""Biological samples (implied by the use of microchambers and calcium imaging)""
  ],
  ""tools_and_setup"": [
    ""Plasma cleaner (Harrick Plasma)"",
    ""Pipette"",
    ""Microscope"",
    ""Computer for data analysis""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a plasma cleaner suggests a focus on surface treatment for improved sample adhesion or reaction"",
    ""The calcium imaging step indicates a focus on dynamic cellular processes""
  ]
}
```"
51084_scientific_discovery,videos/level_3/51084_.mp4,"According to the study’s main conclusion, a standardized protocol links pre- and post-implant _____ and _____ with in vivo, acoustically driven multi-unit recordings in the rat _____ to compare _____ versus bare electrodes, enabling identification of electrode properties that maximize signal-to-noise ratio and acute biostability.",,"[""electrochemical impedance spectroscopy"", ""cyclic voltammetry"", ""inferior colliculus"", ""organic conducting polymer-modified""]",electrode coating | material | auditory cortex | coated electrodes,coating | depth | auditory cortex | coated,coatings | configurations | auditory cortex | coated,0.0,0.0,0.0,"```json
{
  ""experiment_overview"": ""The experiment appears to be focused on evaluating neural recording electrodes using systematic electrochemical and electrophysiological methods."",
  ""novel_techniques_shown"": [""Systematic evaluation of neural recording electrodes through electrochemical and electrophysiological means"", ""Use of Gaussian distributed noise for testing""],
  ""key_steps"": [""Preparation of electrodes"", ""Application of Gaussian distributed noise"", ""Recording of neural responses"", ""Analysis of data for signal-to-noise ratio (SNR) and sound pressure levels (SPL)""],
  ""materials_subjects"": [""Neural recording electrodes"", ""Gaussian distributed noise stimulus""],
  ""tools_and_setup"": [""Electrochemical workstation"", ""Computer setup for data analysis"", ""Laboratory equipment for electrode preparation"", ""Noise generator"", ""Data acquisition system""],
  ""anything_unusual_or_notable"": [""The use of Gaussian distributed noise as a standardized stimulus for testing the electrodes' performance across different depths and SPL levels suggests a rigorous approach to evaluating electrode reliability and sensitivity.""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the evaluation of neural recording electrodes using both electrochemical and electrophysiological methods. It includes the preparation of a solution, surgical procedures on an animal model, and the analysis of neural signals."",
  ""novel_techniques_shown"": [
    ""Use of a 3D printer to create custom experimental setups"",
    ""Application of Gaussian distributed noise for signal analysis""
  ],
  ""key_steps"": [
    ""Preparation of a 20% w/v solution in distilled water"",
    ""Surgical exposure of the brain in an animal model"",
    ""Recording and analyzing neural signals with varying sound pressure levels"",
    ""Electrochemical evaluation of electrodes""
  ],
  ""materials_subjects"": [
    ""Distilled water"",
    ""Animal model (rat)"",
    ""Neural recording electrodes""
  ],
  ""tools_and_setup"": [
    ""3D printer"",
    ""Surgical instruments"",
    ""Electrophysiological recording equipment"",
    ""Electrochemical workstation""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of a 3D printer for creating experimental components suggests a high level of customization and precision in the setup""
  ]
}
```"
57346_scientific_discovery,videos/level_3/57346_.mp4,"According to the study’s conclusion, this approach establishes a(n) ____ human blood-brain barrier model by isolating ____ from ____; this enables direct analysis of barrier leakage and transporter function such as ____.",,"[""ex vivo"", ""intact human brain capillaries"", ""fresh human brain tissue"", ""P-glycoprotein (PGP)""]",novel | pericytes | brain capillaries | glucose transporters,novel | pericytes | brain endothelial cells | P-glycoprotein,novel | pericytes | brain endothelial cells | P-gp,0.08333333333333333,0.23809523809523808,0.07142857142857144,"```json
{
  ""experiment_overview"": ""The experiment involves culturing and analyzing pericytes, a type of cell found in blood vessels, to understand their role in vascular development and function."",
  ""novel_techniques_shown"": [""Use of a microscope for detailed observation"", ""Centrifugation at specific conditions (5,800 x g for 15 minutes at 4°C) to separate cells""],
  ""key_steps"": [""Culturing cells in a petri dish"", ""Centrifuging the cells to separate them"", ""Using a pipette to transfer the separated cells into a tube"", ""Observing the cells under a microscope""],
  ""materials_subjects"": [""Pericyte cells"", ""Culture medium"", ""Centrifuge tubes"", ""Microscope slides""],
  ""tools_and_setup"": [""Petri dish"", ""Centrifuge"", ""Pipette"", ""Microscope"", ""Microscope slides""],
  ""anything_unusual_or_notable"": [""The use of centrifugation at low temperature (4°C) to maintain cell viability during separation""]
}
```","```json
{
  ""experiment_overview"": ""The experiment involves the isolation and analysis of pericytes, a type of cell associated with blood vessels. The process includes centrifugation, pipetting of solutions, and microscopic examination of the cells."",
  ""novel_techniques_shown"": [
    ""Use of a centrifuge at specific settings (5,800 x g, 15 min, 4°C) for cell isolation"",
    ""Microscopic imaging of pericytes with labeled markers for detailed cellular analysis""
  ],
  ""key_steps"": [
    ""Centrifugation of samples at controlled conditions"",
    ""Pipetting of solutions into test tubes for sample preparation"",
    ""Microscopic examination of pericytes with labeled markers""
  ],
  ""materials_subjects"": [
    ""Pericytes"",
    ""Test tubes"",
    ""Solutions for cell isolation and preparation""
  ],
  ""tools_and_setup"": [
    ""Centrifuge"",
    ""Pipette"",
    ""Microscope"",
    ""Test tube rack""
  ],
  ""anything_unusual_or_notable"": [
    ""The use of labeled markers to highlight pericytes under the microscope, indicating a focus on cellular identification and analysis""
  ]
}
```"
