id,video,question,options,gold,C0_pred (video),C0_ok,C1_pred (note),C1_ok,C2_pred (v+n),C2_ok,C4_pred (v+ASR),C4_ok,disagreement_type,note_text (first 280 chars)
55531_clip_12_materials,clip_12,Which material appears in this experimental step?,A:silica gel packets | B:collected pellets | C:agarose beads | D:lyophilized powder,B,D,✗,B,✓,D,✗,B,✓,other,"```json {   ""materials_visible"": [     ""aluminum foil"",     ""sand"",     ""twigs""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""square"",       ""color"": ""silver"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""material"": ""al..."
55531_clip_28_materials,clip_28,What material appears in this procedure?,A:sand | B:silica gel | C:quartz sand | D:glass beads,C,B,✗,D,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""name"": ""Funnel"",       ""description"": ""Metallic, conical shape, silver in color.""     },     {       ""name"": ""Beaker"",       ""description"": ""White, cylindrical, with a handle.""   ..."
55531_clip_61_materials,clip_61,Which material appears in this experimental step?,A:compressed tablet | B:pellet | C:gelatin capsule | D:agarose bead,B,D,✗,D,✗,D,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dish"",     ""Forceps"",     ""Yellow spherical objects""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""type"": ""Petri dish"",       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Standard laboratory size""..."
55531_clip_41_materials,clip_41,What material appears in this procedure?,A:toluene | B:hexane | C:ethanol | D:heptane,B,B,✓,C,✗,B,✓,B,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""test tube"",     ""test tube rack"",     ""bottles""   ],   ""labels_seen"": [     ""Wait for 5 min""   ],   ""container_descriptions"": [     {       ""type"": ""test tube"",       ""color"": ""transparent"",       ""size"": ""standard""     },     {       ""type..."
63013_clip_29_materials,clip_29,Which material appears in this experimental step?,A:trypsin solution | B:cell suspension sample | C:DMEM culture medium | D:phosphate-buffered saline,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Eppendorf tube"",     ""Centrifuge""   ],   ""labels_seen"": [     ""Eppendorf"",     ""3 min\n200 x g"",     ""Centrifuge 5424""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small..."
63013_clip_23_materials,clip_23,What material appears in the researcher's work in this video clip?,A:BSA | B:P-selectin-Fc | C:IgG-Fc | D:E-selectin-Fc,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""P-selectin-Fc: 10 μg/mL""   ],   ""labels_seen"": [     ""P-selectin-Fc: 10 μg/mL""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [..."
63013_clip_7_materials,clip_7,What material appears in the researcher's work in this video clip?,A:double-sided tape | B:microscope slide | C:single-sided tape | D:adhesive transfer tape,A,D,✗,B,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Flow Chamber Preparation""   ],   ""labels_seen"": [     ""Flow Chamber Preparation""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",..."
63013_clip_15_materials,clip_15,Which material appears in this experimental step?,A:blocking buffer | B:PBS | C:wash buffer | D:lysis buffer,C,A,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Ethanol""   ],   ""labels_seen"": [     ""Surface Preparation""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""conical"",       ""color"": ""whi..."
2958_clip_27_materials,clip_27,What material appears in the researcher's work in this video clip?,A:spinal cord | B:brain | C:cortex | D:liver,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [""4% PFA""],   ""labels_seen"": [""4% PFA"", ""Corning""],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""red"",       ""sta..."
2958_clip_20_materials,clip_20,Which material appears in this experimental step?,A:benzoyl peroxide | B:dioctyl phthalate | C:curing agent | D:PDMS base,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""MV Curing Agent""   ],   ""labels_seen"": [     ""MV Curing Agent"",     ""IONIC RECOMMENDATION"",     ""If product crystallizes precipitate persists do not be concerned with MV Curing Agent Contains dibutyl tin dilaurate""   ],   ""container_descrip..."
2958_clip_17_materials,clip_17,Which material appears in this experimental step?,A:apex of the heart | B:aortic arch | C:coronary artery | D:right ventricle,A,B,✗,C,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Blood"",     ""Tissue""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Cylindrical"",       ""color"": ""White"",       ""size"": ""Small""     }   ],   ""substance_appearance"": [     {       ""color"": ""Reddis..."
2958_clip_29_materials,clip_29,What material appears in the researcher's work in this video clip?,A:perfused brain | B:PFA-fixed brain | C:cryosectioned brain | D:agarose-embedded brain,A,D,✗,D,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Methyl Methacrylate""   ],   ""labels_seen"": [     ""Methyl Methacrylate""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""petri dish"",     ..."
63662_clip_35_materials,clip_35,What material appears in this procedure?,A:3% bovine serum albumin | B:5% skim milk powder | C:human serum albumin | D:fetal bovine serum,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""pipette tip"",     ""petri dishes"",     ""test tubes"",     ""plastic containers""   ],   ""labels_seen"": [     ""100% ethanol"",     ""100% methanol""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",     ..."
