id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
58301_clip6_sequence_ordering,videos/level_2/video_segments/58301/clip_6.mp4,What is the correct sequence of steps for the membrane sealing and preparation procedure?,"{""A"": ""1. Thoroughly mix equal proportions of epoxy and hardener\n2. Leave mixture for one hour\n3. Place ZIF-8 membrane on 24mm steel disc with 5mm diameter center hole\n4. Apply epoxy along substrate edges and cover substrate while exposing 5mm center hole\n5. Allow epoxy to dry overnight"", ""B"": ""1. Thoroughly mix equal proportions of epoxy and hardener\n2. Place ZIF-8 membrane on 24mm steel disc with 5mm diameter center hole\n3. Leave mixture for one hour\n4. Apply epoxy along substrate edges and cover substrate while exposing 5mm center hole\n5. Allow epoxy to dry overnight"", ""C"": ""1. Place ZIF-8 membrane on 24mm steel disc with 5mm diameter center hole\n2. Thoroughly mix equal proportions of epoxy and hardener\n3. Leave mixture for one hour\n4. Apply epoxy along substrate edges and cover substrate while exposing 5mm center hole\n5. Allow epoxy to dry overnight"", ""D"": ""1. Thoroughly mix equal proportions of epoxy and hardener\n2. Leave mixture for one hour\n3. Apply epoxy along substrate edges and cover substrate while exposing 5mm center hole\n4. Place ZIF-8 membrane on 24mm steel disc with 5mm diameter center hole\n5. Allow epoxy to dry overnight""}","""A""",B,C,C,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""A bottle labeled 'GC Electronics' is held by a gloved hand, and a small amount of black liquid is dispensed onto a clear plastic square."",
    ""The gloved hand uses a toothpick to transfer the black liquid from the plastic square to a circular metal disc."",
    ""The gloved hand continues to spread the black liquid evenly across the surface of the metal disc using the toothpick.""
  ],
  ""first_step"": ""A bottle labeled 'GC Electronics' is held by a gloved hand, and a small amount of black liquid is dispensed onto a clear plastic square."",
  ""last_step"": ""The gloved hand continues to spread the black liquid evenly across the surface of the metal disc using the toothpick."",
  ""key_transitions"": [
    ""The transition occurs as the gloved hand moves the toothpick from the plastic square to the metal disc, indicating the continuation of the process.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""step 1 description: A dark liquid is dispensed onto a small, circular metallic object using a bottle with a dropper tip."",
    ""step 2 description: The liquid is spread evenly across the surface of the metallic object using a toothpick.""
  ],
  ""first_step"": ""A dark liquid is dispensed onto a small, circular metallic object using a bottle with a dropper tip."",
  ""last_step"": ""The liquid is spread evenly across the surface of the metallic object using a toothpick."",
  ""key_transitions"": [
    ""The transition from dispensing the liquid to spreading it is marked by the switch from using the dropper to using a toothpick.""
  ]
}
```"
58301_clip1_sequence_ordering,videos/level_2/video_segments/58301/clip_1.mp4,What is the correct sequence of steps for the copper foil preparation and cleaning experimental procedure?,"{""A"": ""1. Cut high purity copper foil into 4x4 cm pieces\n2. Draw a line 0.5 cm from one edge of each square foil\n3. Flatten each foil using a cylindrical roller on a clean surface\n4. Clean copper foils by bath sonication in acetone for 15 minutes\n5. Clean copper foils by bath sonication in isopropanol for 15 minutes\n6. Dry copper foils in a glass dish"", ""B"": ""1. Cut high purity copper foil into 4x4 cm pieces\n2. Draw a line 0.5 cm from one edge of each square foil\n3. Clean copper foils by bath sonication in acetone for 15 minutes\n4. Flatten each foil using a cylindrical roller on a clean surface\n5. Clean copper foils by bath sonication in isopropanol for 15 minutes\n6. Dry copper foils in a glass dish"", ""C"": ""1. Cut high purity copper foil into 4x4 cm pieces\n2. Draw a line 0.5 cm from one edge of each square foil\n3. Flatten each foil using a cylindrical roller on a clean surface\n4. Clean copper foils by bath sonication in isopropanol for 15 minutes\n5. Clean copper foils by bath sonication in acetone for 15 minutes\n6. Dry copper foils in a glass dish"", ""D"": ""1. Cut high purity copper foil into 4x4 cm pieces\n2. Flatten each foil using a cylindrical roller on a clean surface\n3. Draw a line 0.5 cm from one edge of each square foil\n4. Clean copper foils by bath sonication in acetone for 15 minutes\n5. Clean copper foils by bath sonication in isopropanol for 15 minutes\n6. Dry copper foils in a glass dish""}","""A""",D,B,D,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""Measure and cut a piece of copper foil."",
    ""Prepare a beaker by pouring acetone into it."",
    ""Attach the substrate (copper foil) to the electrode (cathode).""
  ],
  ""first_step"": ""Measure and cut a piece of copper foil."",
  ""last_step"": ""Attach the substrate (copper foil) to the electrode (cathode)."",
  ""key_transitions"": [
    ""The video transitions from measuring and cutting the copper foil to preparing the beaker with acetone."",
    ""The video transitions from preparing the beaker with acetone to attaching the substrate to the electrode.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""step 1 description: Measure and cut a 99.9% pure, 127 µm-thick material using a ruler and a cutting tool."",
    ""step 2 description: Pour a liquid from a bottle labeled 'ACETONE' into a beaker.""
  ],
  ""first_step"": ""Measure and cut a 99.9% pure, 127 µm-thick material using a ruler and a cutting tool."",
  ""last_step"": ""Pour a liquid from a bottle labeled 'ACETONE' into a beaker."",
  ""key_transitions"": [
    ""The transition from cutting the material to pouring acetone suggests a change in the procedure, possibly moving from material preparation to a cleaning or solution preparation step.""
  ]
}
```"
55685_clip4_sequence_ordering,videos/level_2/video_segments/55685/clip_4.mp4,What is the correct sequence of steps for the Aerosol Measurement Activation experimental procedure?,"{""A"": ""1. Start aerosol measurement software\n2. Create new file by clicking 'Create a New File'\n3. Measure aerosol flow using high-resolution time-of-flight aerosol mass spectrometer\n4. Click 'Okay' button to record particle number diameter distributions exiting the bag\n5. Start data acquisition software by pressing 'Acquire' button on lower left panel"", ""B"": ""1. Start aerosol measurement software\n2. Create new file by clicking 'Create a New File'\n3. Click 'Okay' button to record particle number diameter distributions exiting the bag\n4. Measure aerosol flow using high-resolution time-of-flight aerosol mass spectrometer\n5. Start data acquisition software by pressing 'Acquire' button on lower left panel"", ""C"": ""1. Start aerosol measurement software\n2. Create new file by clicking 'Create a New File'\n3. Click 'Okay' button to record particle number diameter distributions exiting the bag\n4. Start data acquisition software by pressing 'Acquire' button on lower left panel\n5. Measure aerosol flow using high-resolution time-of-flight aerosol mass spectrometer"", ""D"": ""1. Create new file by clicking 'Create a New File'\n2. Start aerosol measurement software\n3. Click 'Okay' button to record particle number diameter distributions exiting the bag\n4. Measure aerosol flow using high-resolution time-of-flight aerosol mass spectrometer\n5. Start data acquisition software by pressing 'Acquire' button on lower left panel""}","""B""",A,A,A,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""Selecting instrument settings and parameters in the software interface."",
    ""Navigating through different tabs and options within the software."",
    ""Monitoring real-time data and graphs displayed on the screen.""
  ],
  ""first_step"": ""Selecting instrument settings and parameters in the software interface."",
  ""last_step"": ""Monitoring real-time data and graphs displayed on the screen."",
  ""key_transitions"": [
    ""Navigation between different software interfaces and tabs."",
    ""Switching from setting up the experiment to monitoring the results.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""Display of 'IV. Instrument Measurement' title"",
    ""View of a file directory with various folders and files"",
    ""Software interface showing data acquisition and instrument control settings"",
    ""Graphical interface displaying real-time data and analysis results""
  ],
  ""first_step"": ""Display of 'IV. Instrument Measurement' title"",
  ""last_step"": ""Graphical interface displaying real-time data and analysis results"",
  ""key_transitions"": [
    ""Transition from title display to file directory view"",
    ""Transition from file directory to software interface with settings"",
    ""Transition from settings interface to graphical data display""
  ]
}
```"
55685_clip3_sequence_ordering,videos/level_2/video_segments/55685/clip_3.mp4,What is the correct sequence of steps for the Precursor Vaporization Setup experiment?,"{""A"": ""1. Withdraw 1 milliliter of isoprene solution using syringe\n2. Rinse syringe three times with isoprene solution prior to final withdrawal\n3. Place syringe into syringe injector\n4. Preheat flask to 90 ± 1°C using heating tape\n5. Insert syringe needle tip through rubber seal into round bottomed flask\n6. Introduce flow of 2 standard liters per minute of purified air\n7. Turn on syringe injection and set to appropriate value"", ""B"": ""1. Introduce flow of 2 standard liters per minute of purified air\n2. Withdraw 1 milliliter of isoprene solution using syringe\n3. Rinse syringe three times with isoprene solution prior to final withdrawal\n4. Place syringe into syringe injector\n5. Insert syringe needle tip through rubber seal into round bottomed flask\n6. Preheat flask to 90 ± 1°C using heating tape\n7. Turn on syringe injection and set to appropriate value"", ""C"": ""1. Withdraw 1 milliliter of isoprene solution using syringe\n2. Rinse syringe three times with isoprene solution prior to final withdrawal\n3. Place syringe into syringe injector\n4. Insert syringe needle tip through rubber seal into round bottomed flask\n5. Preheat flask to 90 ± 1°C using heating tape\n6. Turn on syringe injection and set to appropriate value\n7. Introduce flow of 2 standard liters per minute of purified air"", ""D"": ""1. Withdraw 1 milliliter of isoprene solution using syringe\n2. Rinse syringe three times with isoprene solution prior to final withdrawal\n3. Preheat flask to 90 ± 1°C using heating tape\n4. Place syringe into syringe injector\n5. Insert syringe needle tip through rubber seal into round bottomed flask\n6. Turn on syringe injection and set to appropriate value\n7. Introduce flow of 2 standard liters per minute of purified air""}","""C""",D,D,D,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""A person uses a pipette to transfer liquid from one container to another."",
    ""The person adjusts a control panel on a piece of laboratory equipment.""
  ],
  ""first_step"": ""A person uses a pipette to transfer liquid from one container to another."",
  ""last_step"": ""The person adjusts a control panel on a piece of laboratory equipment."",
  ""key_transitions"": [
    ""The transition occurs as the person moves from using the pipette to adjusting the control panel.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""step 1 description: A syringe is used to inject a liquid into a beaker containing a clear solution."",
    ""step 2 description: A hand adjusts a component on a piece of laboratory equipment, possibly a titrator or a similar device.""
  ],
  ""first_step"": ""A syringe is used to inject a liquid into a beaker containing a clear solution."",
  ""last_step"": ""A hand adjusts a component on a piece of laboratory equipment, possibly a titrator or a similar device."",
  ""key_transitions"": [
    ""The scene transitions from a close-up of a syringe injecting liquid into a beaker to a hand adjusting a component on laboratory equipment.""
  ]
}
```"
62417_clip3_sequence_ordering,videos/level_2/video_segments/62417/clip_3.mp4,What is the correct sequence of steps for the embryo microinjection procedure using CRISPR components?,"{""A"": ""1. Place cover slip onto 100 × 15 ml Petri dish containing 1% agar\n2. Position setup under dissecting microscope inside humidified hood\n3. Place tip of quartz injection needle in water drop\n4. Insert needle into larger end of embryo approaching from left side of cover slip\n5. Initiate injection cycle for pressure calibration\n6. Deliver injection solution into egg\n7. Withdraw needle from embryo\n8. Transfer cover slip to new 1% agar dish surface\n9. Place dish into humidity chamber"", ""B"": ""1. Place cover slip onto 100 × 15 ml Petri dish containing 1% agar\n2. Position setup under dissecting microscope inside humidified hood\n3. Place tip of quartz injection needle in water drop\n4. Initiate injection cycle for pressure calibration\n5. Insert needle into larger end of embryo approaching from left side of cover slip\n6. Deliver injection solution into egg\n7. Withdraw needle from embryo\n8. Transfer cover slip to new 1% agar dish surface\n9. Place dish into humidity chamber"", ""C"": ""1. Position setup under dissecting microscope inside humidified hood\n2. Place cover slip onto 100 × 15 ml Petri dish containing 1% agar\n3. Place tip of quartz injection needle in water drop\n4. Initiate injection cycle for pressure calibration\n5. Insert needle into larger end of embryo approaching from left side of cover slip\n6. Deliver injection solution into egg\n7. Withdraw needle from embryo\n8. Transfer cover slip to new 1% agar dish surface\n9. Place dish into humidity chamber"", ""D"": ""1. Place cover slip onto 100 × 15 ml Petri dish containing 1% agar\n2. Transfer cover slip to new 1% agar dish surface\n3. Position setup under dissecting microscope inside humidified hood\n4. Place tip of quartz injection needle in water drop\n5. Initiate injection cycle for pressure calibration\n6. Insert needle into larger end of embryo approaching from left side of cover slip\n7. Deliver injection solution into egg\n8. Withdraw needle from embryo\n9. Place dish into humidity chamber""}","""B""",A,A,A,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""A person prepares an egg for microinjection by placing it under a microscope."",
    ""The person injects a solution into the egg using a fine needle."",
    ""The person places the injected egg into a container for incubation.""
  ],
  ""first_step"": ""A person prepares an egg for microinjection by placing it under a microscope."",
  ""last_step"": ""The person places the injected egg into a container for incubation."",
  ""key_transitions"": [
    ""The transition from preparing the egg to injecting the solution is implied by the text overlay 'See text for needle and injection solution preparation details'."",
    ""The transition from injecting the solution to placing the egg in a container is indicated by the text overlay 'Repeat for each egg'.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""Prepare the injection solution and needle"",
    ""Position the embryo under the microscope"",
    ""Inject the solution into the embryo"",
    ""Cover the petri dish with a lid""
  ],
  ""first_step"": ""Prepare the injection solution and needle"",
  ""last_step"": ""Cover the petri dish with a lid"",
  ""key_transitions"": [
    ""After preparing the injection solution and needle, the next step is to position the embryo under the microscope for injection."",
    ""Following the injection, the petri dish containing the embryo is covered with a lid.""
  ]
}
```"
62417_clip1_sequence_ordering,videos/level_2/video_segments/62417/clip_1.mp4,What is the correct sequence of steps for the adult chamber assembly and female selection procedure?,"{""A"": ""1. Cut hole in bottom of one-ounce cup\n2. Glue screen over hole for air exchange\n3. Aspirate insect colony into 15 milliliter conical tube\n4. Identify female insects by presence of ovipositor on ventral abdomen\n5. Chill insects on ice briefly\n6. Transfer identified females into prepared cup\n7. Seal cup with 5x5 cm paraffin wax film after collecting 15 females\n8. Apply 400 microliters of 10% sucrose solution to top of film\n9. Place second 5x5 cm paraffin wax film over sucrose solution"", ""B"": ""1. Aspirate insect colony into 15 milliliter conical tube\n2. Chill insects on ice briefly\n3. Cut hole in bottom of one-ounce cup\n4. Glue screen over hole for air exchange\n5. Identify female insects by presence of ovipositor on ventral abdomen\n6. Transfer identified females into prepared cup\n7. Seal cup with 5x5 cm paraffin wax film after collecting 15 females\n8. Apply 400 microliters of 10% sucrose solution to top of film\n9. Place second 5x5 cm paraffin wax film over sucrose solution"", ""C"": ""1. Cut hole in bottom of one-ounce cup\n2. Glue screen over hole for air exchange\n3. Aspirate insect colony into 15 milliliter conical tube\n4. Chill insects on ice briefly\n5. Identify female insects by presence of ovipositor on ventral abdomen\n6. Transfer identified females into prepared cup\n7. Seal cup with 5x5 cm paraffin wax film after collecting 15 females\n8. Apply 400 microliters of 10% sucrose solution to top of film\n9. Place second 5x5 cm paraffin wax film over sucrose solution"", ""D"": ""1. Cut hole in bottom of one-ounce cup\n2. Glue screen over hole for air exchange\n3. Aspirate insect colony into 15 milliliter conical tube\n4. Chill insects on ice briefly\n5. Identify female insects by presence of ovipositor on ventral abdomen\n6. Transfer identified females into prepared cup\n7. Apply 400 microliters of 10% sucrose solution to top of the cup\n8. Seal cup with 5x5 cm paraffin wax film after collecting 15 females\n9. Place second 5x5 cm paraffin wax film over the first film""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""observed_steps_in_order"": [
    ""A person wearing blue gloves uses a tool to open a container."",
    ""The person then places a small object into a larger container."",
    ""Next, the person uses tweezers to pick up a small insect from a petri dish filled with ice."",
    ""The insect is then placed into a small plastic cup."",
    ""Finally, the person uses a pipette to transfer liquid into the cup containing the insect.""
  ],
  ""first_step"": ""A person wearing blue gloves uses a tool to open a container."",
  ""last_step"": ""The person uses a pipette to transfer liquid into the cup containing the insect."",
  ""key_transitions"": [
    ""The transition from opening the container to placing the small object into a larger container."",
    ""The transition from picking up the insect with tweezers to placing it into a small plastic cup."",
    ""The transition from placing the insect into the cup to using a pipette to transfer liquid into the cup.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""step 1 description: A person in blue gloves is using a tool to manipulate a small object, possibly a piece of equipment or a sample, on a dark surface."",
    ""step 2 description: The scene transitions to a close-up of a plant with a white substance being applied to its stem, likely a form of treatment or measurement."",
    ""step 3 description: The video then shows a petri dish with small insects, and a pipette is used to transfer a liquid, possibly a solution or reagent, into the dish."",
    ""step 4 description: Finally, the person in blue gloves is seen handling a small container, possibly transferring or storing a sample, on a dark surface.""
  ],
  ""first_step"": ""A person in blue gloves is using a tool to manipulate a small object, possibly a piece of equipment or a sample, on a dark surface."",
  ""last_step"": ""The person in blue gloves is seen handling a small container, possibly transferring or storing a sample, on a dark surface."",
  ""key_transitions"": [
    ""The video transitions from the person manipulating an object to a close-up of a plant being treated."",
    ""The scene then shifts to a petri dish with insects and a pipette being used."",
    ""Finally, the video shows the person handling a small container, indicating a sequence of different laboratory tasks.""
  ]
}
```"
62279_clip6_sequence_ordering,videos/level_2/video_segments/62279/clip_6.mp4,What is the correct sequence of steps for setting up the closed circuit system for drug carrier testing?,"{""A"": ""1. Connect peristaltic pump to inlet of cultured carotid model\n2. Connect oscillation damper to peristaltic pump using outlet tubing\n3. Merge two outlets using piece of tubing\n4. Split outlet tubing into two outlet tubes\n5. Add plastic clamp to each outlet tube\n6. Add 300 milliliters of PBS to closed circuit container\n7. Place other inlet tube into one-liter washing container filled with distilled water\n8. Place one inlet tube and one outlet tube into PBS-filled container with clamp B and clamp C open\n9. Place other outlet tube into empty one-liter waste container with clamp A and clamp D closed"", ""B"": ""1. Connect oscillation damper to peristaltic pump using outlet tubing\n2. Connect peristaltic pump to inlet of cultured carotid model\n3. Add 300 milliliters of PBS to closed circuit container\n4. Merge two outlets using piece of tubing\n5. Split outlet tubing into two outlet tubes\n6. Add plastic clamp to each outlet tube\n7. Place one inlet tube and one outlet tube into PBS-filled container with clamp B and clamp C open\n8. Place other inlet tube into one-liter washing container filled with distilled water\n9. Place other outlet tube into empty one-liter waste container with clamp A and clamp D closed"", ""C"": ""1. Connect oscillation damper to peristaltic pump using outlet tubing\n2. Connect peristaltic pump to inlet of cultured carotid model\n3. Split outlet tubing into two outlet tubes\n4. Merge two outlets using piece of tubing\n5. Add plastic clamp to each outlet tube\n6. Add 300 milliliters of PBS to closed circuit container\n7. Place one inlet tube and one outlet tube into PBS-filled container with clamp B and clamp C open\n8. Place other outlet tube into empty one-liter waste container with clamp A and clamp D closed\n9. Place other inlet tube into one-liter washing container filled with distilled water"", ""D"": ""1. Connect oscillation damper to peristaltic pump using outlet tubing\n2. Connect peristaltic pump to inlet of cultured carotid model\n3. Merge two outlets using piece of tubing\n4. Split outlet tubing into two outlet tubes\n5. Add plastic clamp to each outlet tube\n6. Add 300 milliliters of PBS to closed circuit container\n7. Place one inlet tube and one outlet tube into PBS-filled container with clamp B and clamp C open\n8. Place other inlet tube into one-liter washing container filled with distilled water\n9. Place other outlet tube into empty one-liter waste container with clamp A and clamp D closed""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""observed_steps_in_order"": [
    ""Adjusting the tubing connected to the perfusion pump."",
    ""Connecting the tubing to a syringe."",
    ""Filling the syringe with liquid from a bottle labeled 'PBS'."",
    ""Securing the tubing connections.""
  ],
  ""first_step"": ""Adjusting the tubing connected to the perfusion pump."",
  ""last_step"": ""Securing the tubing connections."",
  ""key_transitions"": [
    ""The transition from adjusting the tubing to connecting it to a syringe is smooth as the syringe is picked up and attached to the tubing."",
    ""The transition from connecting the tubing to filling the syringe involves picking up the syringe and inserting it into the tubing."",
    ""The transition from filling the syringe to securing the tubing connections is completed by tightening the connections after the syringe is filled.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""step 1 description: A person in a lab coat and gloves is handling a tube connected to a green perfusion pump."",
    ""step 2 description: The person is adjusting the tube and connecting it to a container with a clear liquid."",
    ""step 3 description: The person is then seen handling a different tube connected to a bottle labeled 'PBS'."",
    ""step 4 description: The person is adjusting the tube and connecting it to a flask with a clear liquid.""
  ],
  ""first_step"": ""A person in a lab coat and gloves is handling a tube connected to a green perfusion pump."",
  ""last_step"": ""The person is adjusting the tube and connecting it to a flask with a clear liquid."",
  ""key_transitions"": [
    ""The person transitions from handling the tube connected to the perfusion pump to connecting it to a container with a clear liquid."",
    ""The person then transitions to handling a different tube connected to a bottle labeled 'PBS'."",
    ""The person finally transitions to adjusting the tube and connecting it to a flask with a clear liquid.""
  ]
}
```"
62279_clip2_sequence_ordering,videos/level_2/video_segments/62279/clip_2.mp4,What is the correct sequence of steps for the Mold Sealing and Lacquer Application experimental procedure?,"{""A"": ""1. Allow lacquer to air-dry for one hour between applications\n2. Spray model with transparent lacquer three times\n3. Glue transparent rectangular strips of smooth plastic to each side of frame using paint brush and lacquer"", ""B"": ""1. Spray model with transparent lacquer three times\n2. Allow lacquer to air-dry for one hour between applications\n3. Glue transparent rectangular strips of smooth plastic to each side of frame using paint brush and lacquer"", ""C"": ""1. Spray model with transparent lacquer three times\n2. Glue transparent rectangular strips of smooth plastic to each side of frame using paint brush and lacquer\n3. Allow lacquer to air-dry for one hour between applications"", ""D"": ""1. Glue transparent rectangular strips of smooth plastic to each side of frame using paint brush and lacquer\n2. Spray model with transparent lacquer three times\n3. Allow lacquer to air-dry for one hour between applications""}","""B""",D,D,C,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""The person applies a liquid from a spray bottle onto a clear plastic mold."",
    ""The person uses a tool to manipulate the liquid within the mold.""
  ],
  ""first_step"": ""The person applies a liquid from a spray bottle onto a clear plastic mold."",
  ""last_step"": ""The person uses a tool to manipulate the liquid within the mold."",
  ""key_transitions"": [
    ""The transition occurs as the person switches from spraying the liquid to using a tool for manipulation.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""apply a substance from a spray can onto a surface"",
    ""place a transparent object on the sprayed surface"",
    ""manipulate the transparent object with a tool""
  ],
  ""first_step"": ""apply a substance from a spray can onto a surface"",
  ""last_step"": ""manipulate the transparent object with a tool"",
  ""key_transitions"": [
    ""after spraying, the transparent object is placed on the sprayed area"",
    ""once the object is in place, a tool is used to manipulate it""
  ]
}
```"
65412_clip2_sequence_ordering,videos/level_2/video_segments/65412/clip_2.mp4,What is the correct sequence of steps for the microwave reaction setup and initiation described?,"{""A"": ""1. Transfer 20 milliliters of sonicated precursor solution into microwave reaction vial\n2. Set reactor program to heat as fast as possible using maximum power until target temperature is reached\n3. Seal reaction vessel with locking lid and PTFE liner\n4. Place vial inside microwave reactor\n5. Apply variable power to maintain reaction temperature for 13 to 30 minutes"", ""B"": ""1. Transfer 20 milliliters of sonicated precursor solution into microwave reaction vial\n2. Place vial inside microwave reactor\n3. Seal reaction vessel with locking lid and PTFE liner\n4. Set reactor program to heat as fast as possible using maximum power until target temperature is reached\n5. Apply variable power to maintain reaction temperature for 13 to 30 minutes"", ""C"": ""1. Transfer 20 milliliters of sonicated precursor solution into microwave reaction vial\n2. Seal reaction vessel with locking lid and PTFE liner\n3. Apply variable power to maintain reaction temperature for 13 to 30 minutes\n4. Place vial inside microwave reactor\n5. Set reactor program to heat as fast as possible using maximum power until target temperature is reached"", ""D"": ""1. Transfer 20 milliliters of sonicated precursor solution into microwave reaction vial\n2. Seal reaction vessel with locking lid and PTFE liner\n3. Place vial inside microwave reactor\n4. Set reactor program to heat as fast as possible using maximum power until target temperature is reached\n5. Apply variable power to maintain reaction temperature for 13 to 30 minutes""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""observed_steps_in_order"": [
    ""Transfer green liquid into test tubes using a pipette."",
    ""Cap the test tubes with PTFE stoppers."",
    ""Place the capped test tubes into an Anton Paar instrument."",
    ""Set the desired reaction temperature on the instrument's touchscreen.""
  ],
  ""first_step"": ""Transfer green liquid into test tubes using a pipette."",
  ""last_step"": ""Set the desired reaction temperature on the instrument's touchscreen."",
  ""key_transitions"": [
    ""The transition from transferring the liquid to capping the test tubes is implied by the action of placing the stoppers."",
    ""The transition from capping the test tubes to placing them into the instrument is direct."",
    ""The transition from placing the test tubes into the instrument to setting the temperature is direct.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""A pipette is used to transfer a green liquid from a beaker into test tubes."",
    ""The test tubes are placed into a green rack."",
    ""The green rack is then placed into a machine labeled 'Anton Paar'."",
    ""The machine's screen is used to set the desired reaction temperature to 120°C or 180°C.""
  ],
  ""first_step"": ""A pipette is used to transfer a green liquid from a beaker into test tubes."",
  ""last_step"": ""The machine's screen is used to set the desired reaction temperature to 120°C or 180°C."",
  ""key_transitions"": [
    ""After transferring the liquid, the test tubes are placed into a green rack."",
    ""The green rack is then inserted into the Anton Paar machine."",
    ""Finally, the machine's screen is used to set the reaction temperature.""
  ]
}
```"
65412_clip7_sequence_ordering,videos/level_2/video_segments/65412/clip_7.mp4,What is the correct sequence of steps for preparing and analyzing a nickel hydroxide pellet using ATR-FTIR spectroscopy?,"{""A"": ""1. Equip attenuated total reflectance (ATR) attachment to FTIR spectrometer\n2. Press nickel hydroxide powder between two glass slides to create pellet\n3. Place nickel hydroxide pellet on silicon ATR crystal\n4. Acquire FTIR spectrum between 400-4000 cm⁻¹ (average of 16 scans at 4 cm⁻¹ resolution)"", ""B"": ""1. Equip attenuated total reflectance (ATR) attachment to FTIR spectrometer\n2. Place nickel hydroxide pellet on silicon ATR crystal\n3. Press nickel hydroxide powder between two glass slides to create pellet\n4. Acquire FTIR spectrum between 400-4000 cm⁻¹ (average of 16 scans at 4 cm⁻¹ resolution)"", ""C"": ""1. Press nickel hydroxide powder between two glass slides to create pellet\n2. Equip attenuated total reflectance (ATR) attachment to FTIR spectrometer\n3. Place nickel hydroxide pellet on silicon ATR crystal\n4. Acquire FTIR spectrum between 400-4000 cm⁻¹ (average of 16 scans at 4 cm⁻¹ resolution)"", ""D"": ""1. Equip attenuated total reflectance (ATR) attachment to FTIR spectrometer\n2. Acquire FTIR spectrum between 400-4000 cm⁻¹ (average of 16 scans at 4 cm⁻¹ resolution)\n3. Press nickel hydroxide powder between two glass slides to create pellet\n4. Place nickel hydroxide pellet on silicon ATR crystal""}","""A""",C,C,C,0.0,0.0,0.0,"```json
{
  ""observed_steps_in_order"": [
    ""A scientist places a sample into an ATR-FTIR spectrometer."",
    ""The scientist adjusts the sample within the spectrometer."",
    ""The scientist places a small square piece of material onto a textured surface."",
    ""The scientist uses a tool to apply a substance to the small square piece."",
    ""The scientist operates a computer while seated at a desk.""
  ],
  ""first_step"": ""A scientist places a sample into an ATR-FTIR spectrometer."",
  ""last_step"": ""The scientist operates a computer while seated at a desk."",
  ""key_transitions"": [
    ""The transition from placing the sample into the spectrometer to adjusting the sample within the spectrometer is implied by the continuity of the scientist's actions."",
    ""The transition from adjusting the sample to placing the small square piece onto a textured surface is a clear change in the procedure."",
    ""The transition from applying the substance to operating the computer is marked by the change in the scientist's activity from hands-on manipulation to using the computer.""
  ]
}
```","```json
{
  ""observed_steps_in_order"": [
    ""Prepare the sample for analysis"",
    ""Place the sample on the Attenuated Total Reflectance (ATR) crystal"",
    ""Operate the Fourier Transform Infrared (FTIR) spectrometer"",
    ""Analyze the data on the computer""
  ],
  ""first_step"": ""Prepare the sample for analysis"",
  ""last_step"": ""Analyze the data on the computer"",
  ""key_transitions"": [
    ""The sample is prepared and then placed on the ATR crystal"",
    ""After placing the sample, the FTIR spectrometer is operated"",
    ""The data collected from the spectrometer is then analyzed on the computer""
  ]
}
```"
